ticket_id,risk_score,risk_level,final_risk_prob,lr_risk_prob,nn_risk_prob,risk_explanation,is_risk_high,is_risk_medium,is_risk_low,risk_dim_compliance,risk_dim_sla,risk_dim_cost,risk_dim_quality,risk_dim_equipment,created_at,ticket_type,priority,region
TK000015,0.0403,low,0.0253,0.0258,0.0119,cost(0.20),0,0,1,0.0,0,0.2014966423633976,0.0,0.0,2025-02-11 14:01:00,保养,紧急,华北
TK000016,0.1349,low,0.0651,0.0366,0.0338,compliance(0.25); cost(0.21); equipment(0.20),0,0,1,0.25,0,0.21182377130993735,0.0,0.2,2025-12-17 16:51:00,抢修,低,华东
TK000017,0.1098,low,0.0601,0.0618,0.0157,cost(0.40); equipment(0.20),0,0,1,0.0,0,0.3992237739780212,0.0,0.2,2025-06-16 09:31:00,抢修,中,华北
TK000018,0.2033,low,0.1683,0.2145,0.092,quality(0.50); equipment(0.40); cost(0.34),0,0,1,0.0,0,0.34147129186602865,0.5,0.4,2025-04-09 10:47:00,巡检,中,西南
TK000019,0.2356,low,0.6753,0.8522,0.8752,quality(1.00); cost(0.28); equipment(0.20),0,0,1,0.0,0,0.2780572046658555,1.0,0.2,2025-05-08 08:35:00,保养,中,西南
TK000020,0.0917,low,0.0734,0.0902,0.0409,equipment(0.40); cost(0.16),0,0,1,0.0,0,0.15849108625129782,0.0,0.4,2025-11-28 09:58:00,抢修,高,华东
TK000021,0.0693,low,0.0261,0.0143,0.001,cost(0.35),0,0,1,0.0,0,0.3466337323453036,0.0,0.0,2025-11-22 20:31:00,改造,中,华中
TK000022,0.0461,low,0.0152,0.0036,0.0002,cost(0.23),0,0,1,0.0,0,0.23072177426717833,0.0,0.0,2025-12-30 09:19:00,巡检,中,华东
TK000023,0.1151,low,0.0394,0.0134,0.0006,cost(0.39); quality(0.25),0,0,1,0.0,0,0.38816684298020254,0.25,0.0,2025-06-26 12:35:00,保养,中,华北
TK000024,0.0766,low,0.0381,0.0241,0.0192,cost(0.38),0,0,1,0.0,0,0.3832414017821778,0.0,0.0,2025-11-17 18:56:00,保养,低,华东
TK000025,0.1688,low,0.1043,0.133,0.0202,equipment(0.40); compliance(0.25); cost(0.23),0,0,1,0.25,0,0.231549696264702,0.0,0.4,2025-12-08 07:57:00,保养,低,西北
TK000026,0.1131,low,0.1659,0.2162,0.161,equipment(0.40); cost(0.27),0,0,1,0.0,0,0.26534628259518644,0.0,0.4,2025-08-14 07:37:00,巡检,高,华北
TK000027,0.1782,low,0.0984,0.1037,0.0248,equipment(0.80); cost(0.29),0,0,1,0.0,0,0.29091790409533713,0.0,0.8,2025-02-25 17:14:00,巡检,中,西南
TK000028,0.2658,low,0.4935,0.6639,0.5183,quality(0.50); equipment(0.40); cost(0.34),0,0,1,0.25,0,0.34164465208281825,0.5,0.4,2025-12-18 12:34:00,改造,中,华东
TK000029,0.1415,low,0.1285,0.2103,0.0356,quality(0.75); cost(0.15),0,0,1,0.0,0,0.14502007014331142,0.75,0.0,2025-05-02 16:20:00,抢修,高,华南
TK000030,0.1697,low,0.0997,0.1177,0.0218,compliance(0.25); quality(0.25); equipment(0.20),0,0,1,0.25,0,0.19832985386221302,0.25,0.2,2025-02-20 19:44:00,抢修,中,西南
TK000031,0.179,low,0.4109,0.6158,0.4047,quality(1.00); cost(0.15),0,0,1,0.0,0,0.14520691624694948,1.0,0.0,2025-06-30 08:36:00,巡检,高,华中
TK000032,0.1701,low,0.1602,0.2573,0.0546,quality(0.75); equipment(0.20); cost(0.14),0,0,1,0.0,0,0.13816507100426556,0.75,0.2,2025-01-27 09:10:00,保养,紧急,华东
TK000033,0.0183,low,0.0083,0.0074,0.0005,,0,0,1,0.0,0,0.09131440261501866,0.0,0.0,2025-08-12 07:29:00,改造,低,西南
TK000034,0.0785,low,0.0386,0.0403,0.0027,cost(0.24); equipment(0.20),0,0,1,0.0,0,0.24274402737139933,0.0,0.2,2025-04-01 19:40:00,巡检,中,西南
TK000035,0.212,low,0.0683,0.0078,0.0055,compliance(0.50); equipment(0.40); cost(0.13),0,0,1,0.5,0,0.13482811845491605,0.0,0.4,2025-09-14 09:03:00,巡检,低,华北
TK000036,0.0111,low,0.0148,0.0305,0.0024,,0,0,1,0.0,0,0.05555970706919744,0.0,0.0,2025-06-08 15:24:00,巡检,高,华南
TK000037,0.0842,low,0.0485,0.0522,0.0141,cost(0.27); equipment(0.20),0,0,1,0.0,0,0.27086719010044447,0.0,0.2,2025-07-30 12:43:00,保养,低,西南
TK000038,0.1789,low,0.2487,0.4169,0.1404,quality(0.75); cost(0.33),0,0,1,0.0,0,0.3317839076071395,0.75,0.0,2025-08-12 08:58:00,抢修,中,华北
TK000039,0.0962,low,0.0439,0.0425,0.0006,equipment(0.40); cost(0.18),0,0,1,0.0,0,0.18108372518698523,0.0,0.4,2025-02-26 20:57:00,巡检,中,西北
TK000040,0.1119,low,0.0413,0.0217,0.0003,equipment(0.40); cost(0.26),0,0,1,0.0,0,0.2592717278018096,0.0,0.4,2025-06-30 15:21:00,保养,高,西北
TK000041,0.0795,low,0.049,0.0695,0.0025,compliance(0.25),0,0,1,0.25,0,0.08513289826670978,0.0,0.0,2025-09-23 11:51:00,抢修,中,华中
TK000042,0.0843,low,0.0554,0.0837,0.0024,compliance(0.25); cost(0.11),0,0,1,0.25,0,0.10883992805755394,0.0,0.0,2025-11-06 09:43:00,巡检,中,华中
TK000043,0.1596,low,0.305,0.373,0.3615,quality(0.50); compliance(0.25); cost(0.11),0,0,1,0.25,0,0.11034612533500598,0.5,0.0,2025-09-18 10:07:00,改造,中,华南
TK000044,0.1806,low,0.1062,0.1433,0.0054,equipment(0.60); compliance(0.25); cost(0.14),0,0,1,0.25,0,0.14056872889541105,0.0,0.6,2025-03-26 09:20:00,改造,高,西南
TK000045,0.0687,low,0.0528,0.0618,0.0303,cost(0.34),0,0,1,0.0,0,0.34333679110259063,0.0,0.0,2025-06-02 14:04:00,保养,高,华中
TK000046,0.1123,low,0.0675,0.0743,0.0222,equipment(0.60); cost(0.11),0,0,1,0.0,0,0.11173326567437236,0.0,0.6,2025-07-21 15:29:00,改造,高,华北
TK000047,0.2428,low,0.0816,0.0223,0.0028,compliance(0.75); equipment(0.20); cost(0.13),0,0,1,0.75,0,0.1265197638698693,0.0,0.2,2025-09-14 07:02:00,抢修,中,华中
TK000048,0.0555,low,0.019,0.0046,0.0021,equipment(0.20); cost(0.13),0,0,1,0.0,0,0.12733607259030988,0.0,0.2,2025-03-17 20:43:00,抢修,中,西北
TK000049,0.2619,low,0.5098,0.5825,0.6497,equipment(0.80); compliance(0.25); quality(0.25),0,0,1,0.25,0,0.20938888932747035,0.25,0.8,2025-12-27 10:44:00,保养,高,华北
TK000050,0.2536,low,0.3029,0.4691,0.1789,equipment(0.60); cost(0.32); compliance(0.25),0,0,1,0.25,0,0.31796514891988836,0.25,0.6,2025-12-15 19:08:00,抢修,中,华南
TK000051,0.0969,low,0.0651,0.0805,0.0225,equipment(0.40); cost(0.18),0,0,1,0.0,0,0.18460457892428583,0.0,0.4,2025-05-20 10:51:00,抢修,高,华中
TK000052,0.1482,low,0.2979,0.5321,0.1921,equipment(0.40); compliance(0.25); cost(0.13),0,0,1,0.25,0,0.12839418980449335,0.0,0.4,2025-03-23 13:43:00,巡检,低,西北
TK000053,0.1202,low,0.2301,0.3558,0.1987,quality(0.50); cost(0.23),0,0,1,0.0,0,0.2261302226969123,0.5,0.0,2025-03-26 12:54:00,巡检,高,华南
TK000054,0.1029,low,0.1131,0.1689,0.0661,compliance(0.25); cost(0.20),0,0,1,0.25,0,0.20219685786058506,0.0,0.0,2025-08-18 20:58:00,改造,中,西北
TK000055,0.1365,low,0.2323,0.2821,0.2646,compliance(0.25); quality(0.25); cost(0.18),0,0,1,0.25,0,0.18265133881033713,0.25,0.0,2025-05-06 18:02:00,巡检,高,华南
TK000056,0.1716,low,0.1378,0.2128,0.0337,compliance(0.50); cost(0.23),0,0,1,0.5,0,0.23312721827861582,0.0,0.0,2025-12-29 09:51:00,巡检,紧急,华中
TK000057,0.0639,low,0.0937,0.0993,0.1136,equipment(0.20); cost(0.17),0,0,1,0.0,0,0.16944730162025468,0.0,0.2,2025-07-23 10:35:00,巡检,高,华中
TK000058,0.1375,low,0.0618,0.0435,0.0153,compliance(0.25); quality(0.25); cost(0.19),0,0,1,0.25,0,0.18774046454187043,0.25,0.0,2025-06-30 09:08:00,保养,中,西南
TK000059,0.2782,low,0.2977,0.5097,0.1024,compliance(0.50); quality(0.50); cost(0.39),0,0,1,0.5,0,0.3911245140092844,0.5,0.0,2025-05-04 10:39:00,巡检,低,华北
TK000060,0.0416,low,0.0192,0.0174,0.0018,equipment(0.20),0,0,1,0.0,0,0.0580562914142454,0.0,0.2,2025-04-02 20:20:00,抢修,高,华南
TK000061,0.145,low,0.0603,0.0409,0.0071,equipment(0.40); compliance(0.25); cost(0.11),0,0,1,0.25,0,0.11239124944247703,0.0,0.4,2025-08-10 09:43:00,巡检,中,西南
TK000062,0.0823,low,0.0273,0.006,0.0015,cost(0.26); equipment(0.20),0,0,1,0.0,0,0.26146788990825687,0.0,0.2,2025-12-17 13:10:00,抢修,高,华中
TK000063,0.2292,low,0.1116,0.0959,0.0266,compliance(0.50); cost(0.37); equipment(0.20),0,0,1,0.5,0,0.37076851171796743,0.0,0.2,2025-10-22 19:15:00,巡检,高,华中
TK000064,0.0265,low,0.0332,0.0483,0.0239,cost(0.13),0,0,1,0.0,0,0.13236468787512334,0.0,0.0,2025-02-25 19:15:00,保养,中,西北
TK000065,0.1646,low,0.0664,0.0396,0.009,equipment(0.80); cost(0.22),0,0,1,0.0,0,0.22278833334632742,0.0,0.8,2025-12-23 14:20:00,抢修,紧急,西北
TK000066,0.0922,low,0.0407,0.0288,0.0085,equipment(0.40); cost(0.16),0,0,1,0.0,0,0.1608872745656479,0.0,0.4,2025-04-11 14:07:00,抢修,低,西南
TK000067,0.2227,low,0.0972,0.0725,0.0142,equipment(1.00); cost(0.36),0,0,1,0.0,0,0.3636539886306198,0.0,1.0,2025-05-28 09:11:00,巡检,中,华东
TK000068,0.1269,low,0.3476,0.6638,0.2207,cost(0.32); compliance(0.25),0,0,1,0.25,0,0.322242774566474,0.0,0.0,2025-02-22 18:53:00,保养,高,华东
TK000069,0.2456,low,0.1349,0.1353,0.0395,compliance(0.50); equipment(0.40); quality(0.25),0,0,1,0.5,0,0.1154378010095225,0.25,0.4,2025-05-22 20:41:00,抢修,低,华南
TK000070,0.1489,low,0.0604,0.0446,0.0004,equipment(0.40); compliance(0.25); cost(0.13),0,0,1,0.25,0,0.13210448582433176,0.0,0.4,2025-05-26 12:35:00,巡检,中,华中
TK000071,0.1727,low,0.163,0.1575,0.1603,equipment(0.80); cost(0.26),0,0,1,0.0,0,0.2636640448625762,0.0,0.8,2025-02-09 09:37:00,抢修,中,华东
TK000072,0.1357,low,0.1006,0.1636,0.0074,equipment(0.40); cost(0.38),0,0,1,0.0,0,0.3785830623513856,0.0,0.4,2025-06-29 13:20:00,保养,高,西北
TK000073,0.2235,low,0.0864,0.05,0.0054,compliance(0.50); cost(0.30); quality(0.25),0,0,1,0.5,0,0.3049983727377966,0.25,0.0,2025-01-08 11:13:00,抢修,紧急,华中
TK000074,0.1476,low,0.1013,0.1558,0.007,equipment(0.40); compliance(0.25); cost(0.13),0,0,1,0.25,0,0.12554151897967225,0.0,0.4,2025-12-26 07:10:00,巡检,高,西南
TK000075,0.0803,low,0.0756,0.1036,0.0436,equipment(0.40); cost(0.10),0,0,1,0.0,0,0.10131100407922544,0.0,0.4,2025-04-02 20:02:00,巡检,低,西北
TK000076,0.3817,low,0.7995,0.9707,0.9864,compliance(0.75); equipment(0.60); cost(0.33),0,0,1,0.75,0,0.33356861401404836,0.25,0.6,2025-03-19 07:59:00,巡检,高,华北
TK000077,0.022,low,0.0086,0.0053,0.0003,cost(0.11),0,0,1,0.0,0,0.11004083135532472,0.0,0.0,2025-06-11 19:25:00,保养,中,华北
TK000078,0.32,low,0.172,0.2,0.0172,cost(1.00); equipment(0.80),0,0,1,0.0,0,1.0,0.0,0.8,2025-08-20 15:47:00,巡检,紧急,华东
TK000079,0.1016,low,0.0448,0.0273,0.0136,equipment(0.60),0,0,1,0.0,0,0.05785429805108844,0.0,0.6,2025-03-18 07:39:00,巡检,高,华北
TK000080,0.1846,low,0.3769,0.6064,0.3121,equipment(0.60); compliance(0.25); cost(0.16),0,0,1,0.25,0,0.1604603216919932,0.0,0.6,2025-12-03 10:17:00,巡检,中,西北
TK000081,0.1808,low,0.1777,0.3036,0.0491,cost(0.25); compliance(0.25); quality(0.25),0,0,1,0.25,0,0.2542495666347573,0.25,0.2,2025-03-08 12:45:00,抢修,低,华北
TK000082,0.1181,low,0.0472,0.0329,0.0006,cost(0.28); compliance(0.25),0,0,1,0.25,0,0.277818563722941,0.0,0.0,2025-10-18 07:11:00,巡检,低,西南
TK000083,0.1259,low,0.0692,0.0406,0.0492,equipment(0.40); quality(0.25); cost(0.14),0,0,1,0.0,0,0.14203690113963663,0.25,0.4,2025-08-20 08:51:00,保养,高,华北
TK000084,0.1216,low,0.1219,0.2306,0.0135,compliance(0.25); equipment(0.20); cost(0.15),0,0,1,0.25,0,0.1454489232672126,0.0,0.2,2025-01-02 13:05:00,抢修,中,西南
TK000085,0.2039,low,0.234,0.3879,0.106,compliance(0.50); quality(0.25); cost(0.21),0,0,1,0.5,0,0.20704928742241413,0.25,0.0,2025-10-11 07:53:00,巡检,中,西南
TK000086,0.2107,low,0.0862,0.0423,0.0235,compliance(0.50); cost(0.28); equipment(0.20),0,0,1,0.5,0,0.2782732464593243,0.0,0.2,2025-01-07 19:44:00,巡检,中,华中
TK000087,0.0851,low,0.1086,0.0995,0.1377,compliance(0.25); cost(0.11),0,0,1,0.25,0,0.11287879534619338,0.0,0.0,2025-06-09 11:53:00,巡检,中,华东
TK000088,0.2414,low,0.2345,0.3662,0.0968,compliance(0.75); cost(0.27),0,0,1,0.75,0,0.269498340496102,0.0,0.0,2025-05-21 12:52:00,巡检,中,华东
TK000089,0.0888,low,0.0422,0.03,0.0145,equipment(0.40); cost(0.14),0,0,1,0.0,0,0.1438576922436613,0.0,0.4,2025-12-31 18:41:00,抢修,低,华北
TK000090,0.2749,low,0.255,0.4274,0.0656,compliance(0.75); equipment(0.40); cost(0.14),0,0,1,0.75,0,0.13681752475705622,0.0,0.4,2025-12-15 09:46:00,抢修,中,华北
TK000091,0.1664,low,0.3778,0.4466,0.4902,compliance(0.50); equipment(0.20),0,0,1,0.5,0,0.057215549768826035,0.0,0.2,2025-05-14 16:18:00,巡检,高,华东
TK000092,0.2982,low,0.4412,0.8127,0.1922,equipment(0.60); quality(0.50); cost(0.35),0,0,1,0.25,0,0.3533187381829038,0.5,0.6,2025-11-11 13:40:00,巡检,中,华中
TK000093,0.2986,low,0.472,0.5314,0.5612,compliance(0.50); quality(0.50); cost(0.34),0,0,1,0.5,0,0.3428045864700613,0.5,0.2,2025-01-12 16:32:00,抢修,中,西北
TK000094,0.0961,low,0.0467,0.0365,0.0145,cost(0.33); equipment(0.20),0,0,1,0.0,0,0.33028814959004316,0.0,0.2,2025-05-15 20:33:00,改造,中,华中
TK000095,0.2081,low,0.2747,0.5352,0.0713,compliance(0.75); cost(0.10),0,0,1,0.75,0,0.1031953618326058,0.0,0.0,2025-03-12 17:41:00,抢修,中,华中
TK000096,0.1253,low,0.0985,0.1269,0.0472,equipment(0.40); quality(0.25); cost(0.14),0,0,1,0.0,0,0.13914270654005645,0.25,0.4,2025-02-27 13:28:00,抢修,高,华北
TK000097,0.2693,low,0.3876,0.5241,0.3526,quality(1.00); equipment(0.60); cost(0.15),0,0,1,0.0,0,0.14671499153286083,1.0,0.6,2025-05-01 08:29:00,巡检,中,华东
TK000098,0.0701,low,0.0299,0.0194,0.0059,cost(0.35),0,0,1,0.0,0,0.3507482371560865,0.0,0.0,2025-10-08 15:23:00,保养,紧急,华南
TK000099,0.1157,low,0.0576,0.0586,0.0068,equipment(0.60); cost(0.13),0,0,1,0.0,0,0.12851783117623905,0.0,0.6,2025-03-07 08:24:00,保养,中,华北
TK000100,0.1863,low,0.085,0.0612,0.0221,equipment(0.40); compliance(0.25); quality(0.25),0,0,1,0.25,0,0.1315454159789773,0.25,0.4,2025-12-12 18:57:00,保养,高,华中
TK000101,0.1111,low,0.0751,0.0697,0.0496,cost(0.37); quality(0.25),0,0,1,0.0,0,0.36795842060406947,0.25,0.0,2025-10-10 07:00:00,保养,高,华中
TK000102,0.0413,low,0.0167,0.012,0.0002,equipment(0.20),0,0,1,0.0,0,0.0562839120229649,0.0,0.2,2025-02-07 19:45:00,巡检,高,华南
TK000103,0.0815,low,0.0489,0.0599,0.0099,compliance(0.25),0,0,1,0.25,0,0.09519368761656999,0.0,0.0,2025-09-07 07:18:00,保养,高,西南
TK000104,0.2698,low,0.5703,0.8,0.5982,quality(0.50); equipment(0.40); cost(0.36),0,0,1,0.25,0,0.36165869654324356,0.5,0.4,2025-11-19 13:27:00,巡检,中,华东
TK000105,0.1429,low,0.0456,0.0066,0.0012,compliance(0.50),0,0,1,0.5,0,0.08963295743806543,0.0,0.0,2025-10-21 16:25:00,巡检,低,华北
TK000106,0.1305,low,0.0507,0.0181,0.015,equipment(0.60); cost(0.20),0,0,1,0.0,0,0.2022500323074199,0.0,0.6,2025-06-18 16:42:00,巡检,中,西南
TK000107,0.2428,low,0.0894,0.0434,0.0039,compliance(0.50); equipment(0.40); cost(0.29),0,0,1,0.5,0,0.28913190295599767,0.0,0.4,2025-10-30 10:58:00,抢修,高,西南
TK000108,0.3017,low,0.221,0.3022,0.0707,compliance(0.75); quality(0.25); cost(0.23),0,0,1,0.75,0,0.2334441946452127,0.25,0.2,2025-07-18 14:58:00,巡检,紧急,西北
TK000109,0.2588,low,0.1572,0.1916,0.0356,compliance(0.50); cost(0.33); quality(0.25),0,0,1,0.5,0,0.33138935129840863,0.25,0.2,2025-12-05 10:26:00,保养,中,华中
TK000110,0.1067,low,0.0395,0.0196,0.0018,equipment(0.60),0,0,1,0.0,0,0.08328503157207834,0.0,0.6,2025-03-27 18:43:00,巡检,中,西南
TK000111,0.2528,low,0.229,0.2568,0.1808,equipment(0.80); cost(0.35); compliance(0.25),0,0,1,0.25,0,0.35134785072452035,0.0,0.8,2025-09-02 19:14:00,改造,紧急,西南
TK000112,0.2568,low,0.1921,0.1868,0.1419,quality(0.75); compliance(0.50),0,0,1,0.5,0,0.09655946611794475,0.75,0.0,2025-03-12 20:55:00,保养,中,华中
TK000113,0.2553,low,0.382,0.3524,0.5203,quality(1.00); equipment(0.40); cost(0.23),0,0,1,0.0,0,0.226428086663518,1.0,0.4,2025-04-14 20:42:00,改造,中,华南
TK000114,0.1016,low,0.1483,0.3002,0.0365,compliance(0.25); cost(0.20),0,0,1,0.25,0,0.19571044713681185,0.0,0.0,2025-06-24 08:51:00,巡检,高,西南
TK000115,0.1407,low,0.0519,0.0242,0.0036,cost(0.37); quality(0.25); equipment(0.20),0,0,1,0.0,0,0.36584121625876986,0.25,0.2,2025-09-01 12:22:00,抢修,中,华南
TK000116,0.1308,low,0.0555,0.0462,0.0003,quality(0.50); cost(0.28),0,0,1,0.0,0,0.27881751142898703,0.5,0.0,2025-09-02 15:02:00,巡检,中,西北
TK000117,0.161,low,0.0977,0.1187,0.0223,equipment(0.60); cost(0.36),0,0,1,0.0,0,0.355232141026955,0.0,0.6,2025-07-15 10:09:00,保养,中,华中
TK000118,0.1248,low,0.0947,0.1402,0.0233,equipment(0.40); cost(0.32),0,0,1,0.0,0,0.32413432808461495,0.0,0.4,2025-05-26 12:20:00,保养,中,西北
TK000119,0.1393,low,0.0877,0.1096,0.0217,equipment(0.40); quality(0.25); cost(0.21),0,0,1,0.0,0,0.20911371524794675,0.25,0.4,2025-03-27 13:06:00,抢修,低,华中
TK000120,0.152,low,0.1354,0.2266,0.0299,quality(0.75); cost(0.20),0,0,1,0.0,0,0.19737611273927091,0.75,0.0,2025-06-27 14:34:00,抢修,紧急,华北
TK000121,0.2659,low,0.3777,0.6037,0.2476,quality(0.50); equipment(0.40); cost(0.34),0,0,1,0.25,0,0.3420873240396741,0.5,0.4,2025-07-31 10:54:00,抢修,高,华东
TK000122,0.0651,low,0.0325,0.0346,0.0025,cost(0.33),0,0,1,0.0,0,0.32574520446109745,0.0,0.0,2025-07-15 20:00:00,抢修,中,华南
TK000123,0.2184,low,0.2426,0.3831,0.1228,equipment(0.40); cost(0.29); compliance(0.25),0,0,1,0.25,0,0.2918467029870374,0.25,0.4,2025-10-25 19:44:00,巡检,中,华北
TK000124,0.1451,low,0.1424,0.1617,0.1208,equipment(0.40); quality(0.25); cost(0.24),0,0,1,0.0,0,0.23808700235542146,0.25,0.4,2025-08-28 11:55:00,保养,低,西南
TK000125,0.2076,low,0.4872,0.7078,0.5064,quality(0.50); compliance(0.25); cost(0.20),0,0,1,0.25,0,0.2004554357158188,0.5,0.2,2025-02-24 14:12:00,抢修,中,华中
TK000126,0.2276,low,0.152,0.1234,0.1157,equipment(0.60); compliance(0.25); quality(0.25),0,0,1,0.25,0,0.18809704358787493,0.25,0.6,2025-04-09 15:42:00,抢修,中,华南
TK000127,0.2001,low,0.1429,0.2281,0.0088,equipment(0.40); cost(0.39); compliance(0.25),0,0,1,0.25,0,0.38776924827743176,0.0,0.4,2025-08-18 13:00:00,保养,低,西南
TK000128,0.1553,low,0.0606,0.0354,0.0047,equipment(0.80); cost(0.18),0,0,1,0.0,0,0.17661368069412375,0.0,0.8,2025-10-23 13:05:00,保养,低,华北
TK000129,0.2124,low,0.0754,0.0322,0.0013,compliance(0.50); equipment(0.40); cost(0.14),0,0,1,0.5,0,0.13684913217623496,0.0,0.4,2025-02-13 13:32:00,巡检,中,华南
TK000130,0.0951,low,0.0441,0.0428,0.0018,quality(0.25); equipment(0.20); cost(0.14),0,0,1,0.0,0,0.13784361064767725,0.25,0.2,2025-11-14 09:55:00,保养,高,华北
TK000131,0.1971,low,0.3215,0.3777,0.3718,compliance(0.50); equipment(0.40),0,0,1,0.5,0,0.060296708226018736,0.0,0.4,2025-06-11 14:55:00,巡检,紧急,华南
TK000132,0.1183,low,0.2252,0.2562,0.2857,equipment(0.60); cost(0.14),0,0,1,0.0,0,0.1412882588438652,0.0,0.6,2025-08-07 11:58:00,巡检,中,华南
TK000133,0.3032,low,0.5173,0.6821,0.5359,compliance(0.75); cost(0.39); quality(0.25),0,0,1,0.75,0,0.3908184363008279,0.25,0.0,2025-11-07 16:39:00,抢修,高,西北
TK000134,0.2446,low,0.3231,0.4187,0.2947,quality(0.75); equipment(0.60); cost(0.21),0,0,1,0.0,0,0.21038405847066122,0.75,0.6,2025-07-21 16:47:00,巡检,中,西北
TK000135,0.1136,low,0.0628,0.0535,0.0286,quality(0.25); cost(0.23); equipment(0.20),0,0,1,0.0,0,0.23053468991929515,0.25,0.2,2025-08-19 07:11:00,巡检,低,华南
TK000136,0.1323,low,0.0825,0.1074,0.0149,equipment(0.40); quality(0.25); cost(0.17),0,0,1,0.0,0,0.1742460022940422,0.25,0.4,2025-03-02 09:12:00,抢修,中,华东
TK000137,0.2735,low,0.2507,0.2705,0.2115,compliance(0.75); equipment(0.40); cost(0.13),0,0,1,0.75,0,0.13008801399164527,0.0,0.4,2025-08-22 18:37:00,巡检,紧急,华北
TK000138,0.194,low,0.0738,0.0377,0.007,equipment(0.40); compliance(0.25); quality(0.25),0,0,1,0.25,0,0.17011069540809043,0.25,0.4,2025-09-24 18:40:00,巡检,低,西南
TK000139,0.2331,low,0.6645,0.9139,0.7849,quality(0.50); equipment(0.40); compliance(0.25),0,0,1,0.25,0,0.1779104887424492,0.5,0.4,2025-12-11 14:58:00,巡检,紧急,华南
TK000140,0.2815,low,0.6034,0.8873,0.5955,equipment(0.80); quality(0.50); compliance(0.25),0,0,1,0.25,0,0.12007479792496067,0.5,0.8,2025-07-31 08:31:00,保养,中,华北
TK000141,0.2952,low,0.1586,0.1898,0.0102,compliance(0.50); quality(0.50); equipment(0.40),0,0,1,0.5,0,0.17577980208696042,0.5,0.4,2025-01-12 16:48:00,巡检,低,华北
TK000142,0.0434,low,0.0371,0.0646,0.0042,equipment(0.20),0,0,1,0.0,0,0.06714626883968966,0.0,0.2,2025-11-12 12:19:00,巡检,高,西北
TK000143,0.1511,low,0.0639,0.0504,0.0026,compliance(0.50); cost(0.13),0,0,1,0.5,0,0.1305797729536845,0.0,0.0,2025-09-18 08:25:00,保养,中,华北
TK000144,0.0415,low,0.0186,0.013,0.0047,cost(0.21),0,0,1,0.0,0,0.20770796003969694,0.0,0.0,2025-12-17 20:38:00,保养,中,华中
TK000145,0.1761,low,0.237,0.3923,0.134,compliance(0.25); quality(0.25); cost(0.23),0,0,1,0.25,0,0.23034663085100304,0.25,0.2,2025-01-01 18:35:00,保养,中,华北
