ticket_id,anomaly_label,anomaly_score,anomaly_model_if,anomaly_model_lof,anomaly_reasons,created_at,ticket_type,priority,region,equipment_type,fault_category,total_cost
TK000011,0,0.2582,0,0,"[{'feature': 'sla_minutes', 'deviation': 1.846, 'importance': 0.0476, 'value': 1.846}, {'feature': 'ticket_type_enc', 'deviation': 1.845, 'importance': 0.0476, 'value': 1.845}]",2025-07-06 13:04:00,改造,低,西南,变压器,电气故障,3418.86
TK000012,1,0.4374,0,1,"[{'feature': 'total_cost', 'deviation': 2.491, 'importance': 0.0476, 'value': 2.491}, {'feature': 'dispatch_delay', 'deviation': 1.637, 'importance': 0.0476, 'value': 1.637}, {'feature': 'priority_enc', 'deviation': 1.531, 'importance': 0.0476, 'value': 1.531}]",2025-02-17 20:48:00,抢修,高,华南,变压器,短路,8928.86
TK000013,0,0.1706,0,0,"[{'feature': 'sla_minutes', 'deviation': 1.846, 'importance': 0.0476, 'value': 1.846}, {'feature': 'technician_workload_today', 'deviation': 1.542, 'importance': 0.0476, 'value': -1.542}]",2025-10-08 14:57:00,抢修,低,华中,开关柜,环境损坏,1666.58
TK000014,1,0.4999,0,1,"[{'feature': 'reopen_within_days', 'deviation': 2.109, 'importance': 0.0476, 'value': 2.109}, {'feature': 'sla_minutes', 'deviation': 1.846, 'importance': 0.0476, 'value': 1.846}, {'feature': 'equipment_age_months', 'deviation': 1.581, 'importance': 0.0476, 'value': 1.581}]",2025-06-30 11:48:00,巡检,低,华中,配电箱,机械故障,3648.49
TK000015,1,0.5552,1,1,"[{'feature': 'budget_limit', 'deviation': 2.67, 'importance': 0.0476, 'value': 2.67}, {'feature': 'total_cost', 'deviation': 1.745, 'importance': 0.0476, 'value': 1.745}, {'feature': 'customer_satisfaction', 'deviation': 1.682, 'importance': 0.0476, 'value': 1.682}]",2025-02-11 14:01:00,保养,紧急,华北,变压器,环境损坏,7116.01
TK000016,0,0.3016,0,0,"[{'feature': 'sla_minutes', 'deviation': 1.846, 'importance': 0.0476, 'value': 1.846}, {'feature': 'arrival_delay', 'deviation': 1.685, 'importance': 0.0476, 'value': -1.685}, {'feature': 'photo_count', 'deviation': 1.641, 'importance': 0.0476, 'value': 1.641}]",2025-12-17 16:51:00,抢修,低,华东,电容器,电气故障,3565.81
TK000017,0,0.1909,0,0,[],2025-06-16 09:31:00,抢修,中,华北,配电箱,漏电,2296.06
TK000018,0,0.1132,0,0,[],2025-04-09 10:47:00,巡检,中,西南,变压器,环境损坏,3517.35
TK000019,0,0.2991,0,0,"[{'feature': 'reopen_within_days', 'deviation': 4.498, 'importance': 0.0476, 'value': 4.498}, {'feature': 'attachment_count', 'deviation': 1.606, 'importance': 0.0476, 'value': -1.606}]",2025-05-08 08:35:00,保养,中,西南,发电机,老化,3165.02
TK000020,0,0.2609,0,0,"[{'feature': 'equipment_age_months', 'deviation': 1.667, 'importance': 0.0476, 'value': 1.667}, {'feature': 'priority_enc', 'deviation': 1.531, 'importance': 0.0476, 'value': 1.531}]",2025-11-28 09:58:00,抢修,高,华东,发电机,电气故障,2245.02
TK000021,0,0.2203,0,0,"[{'feature': 'ticket_type_enc', 'deviation': 1.845, 'importance': 0.0476, 'value': 1.845}, {'feature': 'fault_category_enc', 'deviation': 1.546, 'importance': 0.0476, 'value': 1.546}]",2025-11-22 20:31:00,改造,中,华中,配电箱,过热,1336.75
TK000022,0,0.2148,0,0,"[{'feature': 'fault_category_enc', 'deviation': 1.546, 'importance': 0.0476, 'value': 1.546}, {'feature': 'technician_workload_today', 'deviation': 1.51, 'importance': 0.0476, 'value': 1.51}]",2025-12-30 09:19:00,巡检,中,华东,电容器,过热,2801.2
TK000023,0,0.2263,0,0,"[{'feature': 'dispatch_delay', 'deviation': 1.637, 'importance': 0.0476, 'value': 1.637}, {'feature': 'accept_delay', 'deviation': 1.51, 'importance': 0.0476, 'value': 1.51}]",2025-06-26 12:35:00,保养,中,华北,配电箱,短路,2527.11
TK000024,0,0.1884,0,0,"[{'feature': 'sla_minutes', 'deviation': 1.846, 'importance': 0.0476, 'value': 1.846}]",2025-11-17 18:56:00,保养,低,华东,开关柜,电气故障,4526.78
TK000025,0,0.2807,0,0,"[{'feature': 'sla_minutes', 'deviation': 1.846, 'importance': 0.0476, 'value': 1.846}, {'feature': 'attachment_count', 'deviation': 1.536, 'importance': 0.0476, 'value': 1.536}]",2025-12-08 07:57:00,保养,低,西北,变压器,老化,622.6
TK000026,0,0.1172,0,0,"[{'feature': 'priority_enc', 'deviation': 1.531, 'importance': 0.0476, 'value': 1.531}]",2025-08-14 07:37:00,巡检,高,华北,电容器,短路,4840.18
TK000027,0,0.1329,0,0,[],2025-02-25 17:14:00,巡检,中,西南,开关柜,电气故障,668.99
TK000028,0,0.3099,0,0,"[{'feature': 'ticket_type_enc', 'deviation': 1.845, 'importance': 0.0476, 'value': 1.845}, {'feature': 'fault_category_enc', 'deviation': 1.546, 'importance': 0.0476, 'value': 1.546}]",2025-12-18 12:34:00,改造,中,华东,开关柜,过热,1293.49
TK000029,0,0.257,0,0,"[{'feature': 'customer_satisfaction', 'deviation': 1.689, 'importance': 0.0476, 'value': -1.689}, {'feature': 'fault_category_enc', 'deviation': 1.546, 'importance': 0.0476, 'value': 1.546}, {'feature': 'priority_enc', 'deviation': 1.531, 'importance': 0.0476, 'value': 1.531}]",2025-05-02 16:20:00,抢修,高,华南,发电机,过热,1577.99
TK000030,0,0.1238,0,0,[],2025-02-20 19:44:00,抢修,中,西南,电容器,老化,3465.42
TK000031,0,0.1219,0,0,"[{'feature': 'priority_enc', 'deviation': 1.531, 'importance': 0.0476, 'value': 1.531}]",2025-06-30 08:36:00,巡检,高,华中,电缆,环境损坏,3106.51
TK000032,0,0.3652,0,0,"[{'feature': 'customer_satisfaction', 'deviation': 1.689, 'importance': 0.0476, 'value': -1.689}, {'feature': 'technician_workload_today', 'deviation': 1.542, 'importance': 0.0476, 'value': -1.542}]",2025-01-27 09:10:00,保养,紧急,华东,配电箱,老化,3726.75
TK000033,0,0.3624,0,0,"[{'feature': 'response_time', 'deviation': 2.015, 'importance': 0.0476, 'value': -2.015}, {'feature': 'sla_minutes', 'deviation': 1.846, 'importance': 0.0476, 'value': 1.846}, {'feature': 'ticket_type_enc', 'deviation': 1.845, 'importance': 0.0476, 'value': 1.845}]",2025-08-12 07:29:00,改造,低,西南,电容器,电气故障,531.84
TK000034,0,0.1139,0,0,"[{'feature': 'technician_workload_today', 'deviation': 1.51, 'importance': 0.0476, 'value': 1.51}]",2025-04-01 19:40:00,巡检,中,西南,发电机,电气故障,2997.96
TK000035,0,0.2743,0,0,"[{'feature': 'sla_minutes', 'deviation': 1.846, 'importance': 0.0476, 'value': 1.846}, {'feature': 'photo_count', 'deviation': 1.641, 'importance': 0.0476, 'value': 1.641}]",2025-09-14 09:03:00,巡检,低,华北,发电机,电气故障,3894.88
TK000036,0,0.26,0,0,"[{'feature': 'technician_workload_today', 'deviation': 1.542, 'importance': 0.0476, 'value': -1.542}, {'feature': 'priority_enc', 'deviation': 1.531, 'importance': 0.0476, 'value': 1.531}]",2025-06-08 15:24:00,巡检,高,华南,配电箱,电气故障,1040.83
TK000037,0,0.3172,0,0,"[{'feature': 'sla_minutes', 'deviation': 1.846, 'importance': 0.0476, 'value': 1.846}, {'feature': 'arrival_delay', 'deviation': 1.513, 'importance': 0.0476, 'value': 1.513}]",2025-07-30 12:43:00,保养,低,西南,配电箱,环境损坏,2362.23
TK000038,0,0.1865,0,0,"[{'feature': 'customer_satisfaction', 'deviation': 1.689, 'importance': 0.0476, 'value': -1.689}, {'feature': 'response_time', 'deviation': 1.579, 'importance': 0.0476, 'value': -1.579}, {'feature': 'fault_category_enc', 'deviation': 1.546, 'importance': 0.0476, 'value': 1.546}]",2025-08-12 08:58:00,抢修,中,华北,电容器,过热,1742.92
TK000039,0,0.1397,0,0,"[{'feature': 'dispatch_delay', 'deviation': 1.705, 'importance': 0.0476, 'value': -1.705}, {'feature': 'technician_workload_today', 'deviation': 1.542, 'importance': 0.0476, 'value': -1.542}]",2025-02-26 20:57:00,巡检,中,西北,开关柜,电气故障,431.63
TK000040,0,0.2494,0,0,"[{'feature': 'attachment_count', 'deviation': 1.536, 'importance': 0.0476, 'value': 1.536}, {'feature': 'priority_enc', 'deviation': 1.531, 'importance': 0.0476, 'value': 1.531}]",2025-06-30 15:21:00,保养,高,西北,电容器,电气故障,1646.42
TK000041,0,0.2713,0,0,"[{'feature': 'attachment_count', 'deviation': 1.606, 'importance': 0.0476, 'value': -1.606}, {'feature': 'technician_workload_today', 'deviation': 1.542, 'importance': 0.0476, 'value': -1.542}]",2025-09-23 11:51:00,抢修,中,华中,发电机,漏电,307.54
TK000042,0,0.1549,0,0,"[{'feature': 'customer_satisfaction', 'deviation': 1.682, 'importance': 0.0476, 'value': 1.682}]",2025-11-06 09:43:00,巡检,中,华中,发电机,短路,677.03
TK000043,1,0.3537,0,1,"[{'feature': 'reopen_within_days', 'deviation': 2.507, 'importance': 0.0476, 'value': 2.507}, {'feature': 'ticket_type_enc', 'deviation': 1.845, 'importance': 0.0476, 'value': 1.845}, {'feature': 'accept_delay', 'deviation': 1.643, 'importance': 0.0476, 'value': 1.643}]",2025-09-18 10:07:00,改造,中,华南,变压器,漏电,2675.91
TK000044,0,0.3853,0,0,"[{'feature': 'ticket_type_enc', 'deviation': 1.845, 'importance': 0.0476, 'value': 1.845}, {'feature': 'customer_satisfaction', 'deviation': 1.682, 'importance': 0.0476, 'value': 1.682}, {'feature': 'attachment_count', 'deviation': 1.606, 'importance': 0.0476, 'value': -1.606}]",2025-03-26 09:20:00,改造,高,西南,变压器,漏电,855.55
TK000045,0,0.2167,0,0,"[{'feature': 'dispatch_delay', 'deviation': 1.699, 'importance': 0.0476, 'value': 1.699}, {'feature': 'priority_enc', 'deviation': 1.531, 'importance': 0.0476, 'value': 1.531}]",2025-06-02 14:04:00,保养,高,华中,开关柜,漏电,1284.52
TK000046,0,0.2202,0,0,"[{'feature': 'ticket_type_enc', 'deviation': 1.845, 'importance': 0.0476, 'value': 1.845}, {'feature': 'priority_enc', 'deviation': 1.531, 'importance': 0.0476, 'value': 1.531}]",2025-07-21 15:29:00,改造,高,华北,电缆,老化,3664.79
TK000047,0,0.2501,0,0,"[{'feature': 'customer_satisfaction', 'deviation': 1.682, 'importance': 0.0476, 'value': 1.682}, {'feature': 'photo_count', 'deviation': 1.649, 'importance': 0.0476, 'value': -1.649}]",2025-09-14 07:02:00,抢修,中,华中,开关柜,机械故障,2708.47
TK000048,0,0.1036,0,0,[],2025-03-17 20:43:00,抢修,中,西北,变压器,老化,3664.27
TK000049,0,0.2272,0,0,"[{'feature': 'customer_satisfaction', 'deviation': 1.689, 'importance': 0.0476, 'value': -1.689}, {'feature': 'priority_enc', 'deviation': 1.531, 'importance': 0.0476, 'value': 1.531}]",2025-12-27 10:44:00,保养,高,华北,电缆,漏电,1797.18
TK000050,0,0.1885,0,0,"[{'feature': 'customer_satisfaction', 'deviation': 1.689, 'importance': 0.0476, 'value': -1.689}, {'feature': 'technician_workload_today', 'deviation': 1.51, 'importance': 0.0476, 'value': 1.51}]",2025-12-15 19:08:00,抢修,中,华南,电容器,老化,4574.83
TK000051,0,0.1489,0,0,"[{'feature': 'priority_enc', 'deviation': 1.531, 'importance': 0.0476, 'value': 1.531}]",2025-05-20 10:51:00,抢修,高,华中,配电箱,短路,4152.25
TK000052,0,0.2513,0,0,"[{'feature': 'sla_minutes', 'deviation': 1.846, 'importance': 0.0476, 'value': 1.846}, {'feature': 'equipment_age_months', 'deviation': 1.753, 'importance': 0.0476, 'value': 1.753}, {'feature': 'fault_category_enc', 'deviation': 1.546, 'importance': 0.0476, 'value': 1.546}]",2025-03-23 13:43:00,巡检,低,西北,配电箱,过热,1930.76
TK000053,0,0.1917,0,0,"[{'feature': 'fault_category_enc', 'deviation': 1.546, 'importance': 0.0476, 'value': 1.546}, {'feature': 'accept_delay', 'deviation': 1.545, 'importance': 0.0476, 'value': -1.545}, {'feature': 'priority_enc', 'deviation': 1.531, 'importance': 0.0476, 'value': 1.531}]",2025-03-26 12:54:00,巡检,高,华南,电容器,过热,3644.07
TK000054,0,0.2149,0,0,"[{'feature': 'ticket_type_enc', 'deviation': 1.845, 'importance': 0.0476, 'value': 1.845}, {'feature': 'technician_workload_today', 'deviation': 1.542, 'importance': 0.0476, 'value': -1.542}]",2025-08-18 20:58:00,改造,中,西北,开关柜,电气故障,4894.6
TK000055,0,0.1808,0,0,"[{'feature': 'priority_enc', 'deviation': 1.531, 'importance': 0.0476, 'value': 1.531}]",2025-05-06 18:02:00,巡检,高,华南,变压器,短路,4929.91
TK000056,0,0.1918,0,0,[],2025-12-29 09:51:00,巡检,紧急,华中,发电机,短路,528.79
TK000057,0,0.1705,0,0,"[{'feature': 'priority_enc', 'deviation': 1.531, 'importance': 0.0476, 'value': 1.531}]",2025-07-23 10:35:00,巡检,高,华中,电缆,漏电,2128.26
TK000058,1,0.5152,0,1,"[{'feature': 'budget_limit', 'deviation': 1.584, 'importance': 0.0476, 'value': -1.584}, {'feature': 'fault_category_enc', 'deviation': 1.546, 'importance': 0.0476, 'value': 1.546}, {'feature': 'arrival_delay', 'deviation': 1.528, 'importance': 0.0476, 'value': -1.528}]",2025-06-30 09:08:00,保养,中,西南,发电机,过热,144.79
TK000059,0,0.2322,0,0,"[{'feature': 'sla_minutes', 'deviation': 1.846, 'importance': 0.0476, 'value': 1.846}, {'feature': 'attachment_count', 'deviation': 1.606, 'importance': 0.0476, 'value': -1.606}, {'feature': 'technician_workload_today', 'deviation': 1.542, 'importance': 0.0476, 'value': -1.542}]",2025-05-04 10:39:00,巡检,低,华北,变压器,漏电,3284.48
TK000060,0,0.291,0,0,"[{'feature': 'arrival_delay', 'deviation': 1.608, 'importance': 0.0476, 'value': 1.608}, {'feature': 'fault_category_enc', 'deviation': 1.546, 'importance': 0.0476, 'value': 1.546}, {'feature': 'priority_enc', 'deviation': 1.531, 'importance': 0.0476, 'value': 1.531}]",2025-04-02 20:20:00,抢修,高,华南,电容器,过热,785.76
TK000061,0,0.2402,0,0,"[{'feature': 'fault_category_enc', 'deviation': 1.546, 'importance': 0.0476, 'value': 1.546}]",2025-08-10 09:43:00,巡检,中,西南,配电箱,过热,2279.21
TK000062,0,0.2454,0,0,"[{'feature': 'accept_delay', 'deviation': 1.643, 'importance': 0.0476, 'value': 1.643}, {'feature': 'priority_enc', 'deviation': 1.531, 'importance': 0.0476, 'value': 1.531}, {'feature': 'technician_workload_today', 'deviation': 1.51, 'importance': 0.0476, 'value': 1.51}]",2025-12-17 13:10:00,抢修,高,华中,开关柜,老化,624.16
TK000063,0,0.148,0,0,"[{'feature': 'priority_enc', 'deviation': 1.531, 'importance': 0.0476, 'value': 1.531}]",2025-10-22 19:15:00,巡检,高,华中,发电机,短路,4173.28
TK000064,0,0.1734,0,0,"[{'feature': 'response_time', 'deviation': 1.747, 'importance': 0.0476, 'value': 1.747}, {'feature': 'technician_workload_today', 'deviation': 1.51, 'importance': 0.0476, 'value': 1.51}]",2025-02-25 19:15:00,保养,中,西北,发电机,电气故障,2834.17
TK000065,0,0.2211,0,0,"[{'feature': 'photo_count', 'deviation': 1.641, 'importance': 0.0476, 'value': 1.641}]",2025-12-23 14:20:00,抢修,紧急,西北,电缆,电气故障,1854.14
TK000066,0,0.3366,0,0,"[{'feature': 'sla_minutes', 'deviation': 1.846, 'importance': 0.0476, 'value': 1.846}, {'feature': 'technician_workload_today', 'deviation': 1.51, 'importance': 0.0476, 'value': 1.51}]",2025-04-11 14:07:00,抢修,低,西南,发电机,老化,4601.54
TK000067,0,0.3575,0,0,"[{'feature': 'repair_duration', 'deviation': 7.714, 'importance': 0.0476, 'value': 7.714}, {'feature': 'total_duration', 'deviation': 7.245, 'importance': 0.0476, 'value': 7.245}]",2025-05-28 09:11:00,巡检,中,华东,变压器,老化,2494.63
TK000068,0,0.4363,0,0,"[{'feature': 'dispatch_delay', 'deviation': 1.699, 'importance': 0.0476, 'value': 1.699}, {'feature': 'response_time', 'deviation': 1.692, 'importance': 0.0476, 'value': 1.692}, {'feature': 'customer_satisfaction', 'deviation': 1.682, 'importance': 0.0476, 'value': 1.682}]",2025-02-22 18:53:00,保养,高,华东,电缆,环境损坏,3200.58
TK000069,0,0.2329,0,0,"[{'feature': 'sla_minutes', 'deviation': 1.846, 'importance': 0.0476, 'value': 1.846}, {'feature': 'customer_satisfaction', 'deviation': 1.689, 'importance': 0.0476, 'value': -1.689}]",2025-05-22 20:41:00,抢修,低,华南,电缆,环境损坏,2073.97
TK000070,0,0.3439,0,0,"[{'feature': 'response_time', 'deviation': 2.101, 'importance': 0.0476, 'value': 2.101}, {'feature': 'accept_delay', 'deviation': 1.643, 'importance': 0.0476, 'value': 1.643}, {'feature': 'photo_count', 'deviation': 1.641, 'importance': 0.0476, 'value': 1.641}]",2025-05-26 12:35:00,巡检,中,华中,配电箱,环境损坏,1091.36
TK000071,0,0.201,0,0,[],2025-02-09 09:37:00,抢修,中,华东,电缆,环境损坏,1901.05
TK000072,0,0.3633,0,0,"[{'feature': 'priority_enc', 'deviation': 1.531, 'importance': 0.0476, 'value': 1.531}, {'feature': 'accept_delay', 'deviation': 1.51, 'importance': 0.0476, 'value': 1.51}]",2025-06-29 13:20:00,保养,高,西北,发电机,机械故障,1548.16
TK000073,0,0.2852,0,0,"[{'feature': 'customer_satisfaction', 'deviation': 1.689, 'importance': 0.0476, 'value': -1.689}, {'feature': 'attachment_count', 'deviation': 1.536, 'importance': 0.0476, 'value': 1.536}]",2025-01-08 11:13:00,抢修,紧急,华中,配电箱,电气故障,3908.09
TK000074,0,0.4729,0,0,"[{'feature': 'customer_satisfaction', 'deviation': 1.682, 'importance': 0.0476, 'value': 1.682}, {'feature': 'attachment_count', 'deviation': 1.606, 'importance': 0.0476, 'value': -1.606}, {'feature': 'priority_enc', 'deviation': 1.531, 'importance': 0.0476, 'value': 1.531}]",2025-12-26 07:10:00,巡检,高,西南,电缆,短路,412.97
TK000075,0,0.1912,0,0,"[{'feature': 'sla_minutes', 'deviation': 1.846, 'importance': 0.0476, 'value': 1.846}, {'feature': 'equipment_age_months', 'deviation': 1.667, 'importance': 0.0476, 'value': 1.667}]",2025-04-02 20:02:00,巡检,低,西北,开关柜,漏电,978.79
TK000076,0,0.2807,0,0,"[{'feature': 'customer_satisfaction', 'deviation': 1.689, 'importance': 0.0476, 'value': -1.689}, {'feature': 'priority_enc', 'deviation': 1.531, 'importance': 0.0476, 'value': 1.531}]",2025-03-19 07:59:00,巡检,高,华北,变压器,漏电,4865.54
TK000077,0,0.3362,0,0,"[{'feature': 'customer_satisfaction', 'deviation': 1.682, 'importance': 0.0476, 'value': 1.682}, {'feature': 'fault_category_enc', 'deviation': 1.546, 'importance': 0.0476, 'value': 1.546}, {'feature': 'accept_delay', 'deviation': 1.51, 'importance': 0.0476, 'value': 1.51}]",2025-06-11 19:25:00,保养,中,华北,开关柜,过热,1855.61
TK000078,1,0.563,1,1,"[{'feature': 'total_cost', 'deviation': 2.186, 'importance': 0.0476, 'value': 2.186}, {'feature': 'customer_satisfaction', 'deviation': 1.682, 'importance': 0.0476, 'value': 1.682}, {'feature': 'photo_count', 'deviation': 1.641, 'importance': 0.0476, 'value': 1.641}]",2025-08-20 15:47:00,巡检,紧急,华东,变压器,过热,8186.23
TK000079,0,0.1004,0,0,"[{'feature': 'priority_enc', 'deviation': 1.531, 'importance': 0.0476, 'value': 1.531}]",2025-03-18 07:39:00,巡检,高,华北,发电机,老化,3994.75
TK000080,0,0.1998,0,0,"[{'feature': 'arrival_delay', 'deviation': 1.639, 'importance': 0.0476, 'value': 1.639}]",2025-12-03 10:17:00,巡检,中,西北,开关柜,机械故障,1858.04
TK000081,0,0.4505,0,0,"[{'feature': 'sla_minutes', 'deviation': 1.846, 'importance': 0.0476, 'value': 1.846}, {'feature': 'response_time', 'deviation': 1.774, 'importance': 0.0476, 'value': 1.774}, {'feature': 'customer_satisfaction', 'deviation': 1.689, 'importance': 0.0476, 'value': -1.689}]",2025-03-08 12:45:00,抢修,低,华北,开关柜,机械故障,1749.15
TK000082,0,0.4528,0,0,"[{'feature': 'sla_minutes', 'deviation': 1.846, 'importance': 0.0476, 'value': 1.846}, {'feature': 'attachment_count', 'deviation': 1.606, 'importance': 0.0476, 'value': -1.606}, {'feature': 'fault_category_enc', 'deviation': 1.546, 'importance': 0.0476, 'value': 1.546}]",2025-10-18 07:11:00,巡检,低,西南,发电机,过热,2288.49
TK000083,0,0.269,0,0,"[{'feature': 'customer_satisfaction', 'deviation': 1.689, 'importance': 0.0476, 'value': -1.689}, {'feature': 'priority_enc', 'deviation': 1.531, 'importance': 0.0476, 'value': 1.531}]",2025-08-20 08:51:00,保养,高,华北,变压器,漏电,2213.48
TK000084,0,0.1464,0,0,"[{'feature': 'fault_category_enc', 'deviation': 1.546, 'importance': 0.0476, 'value': 1.546}]",2025-01-02 13:05:00,抢修,中,西南,变压器,过热,1398.52
TK000085,0,0.3176,0,0,"[{'feature': 'customer_satisfaction', 'deviation': 1.689, 'importance': 0.0476, 'value': -1.689}, {'feature': 'arrival_delay', 'deviation': 1.591, 'importance': 0.0476, 'value': -1.591}, {'feature': 'technician_workload_today', 'deviation': 1.51, 'importance': 0.0476, 'value': 1.51}]",2025-10-11 07:53:00,巡检,中,西南,发电机,短路,4751.35
TK000086,0,0.1165,0,0,[],2025-01-07 19:44:00,巡检,中,华中,开关柜,短路,4401.68
TK000087,0,0.2078,0,0,[],2025-06-09 11:53:00,巡检,中,华东,开关柜,漏电,3730.63
TK000088,0,0.0412,0,0,[],2025-05-21 12:52:00,巡检,中,华东,开关柜,漏电,3475.37
TK000089,0,0.1304,0,0,"[{'feature': 'sla_minutes', 'deviation': 1.846, 'importance': 0.0476, 'value': 1.846}, {'feature': 'dispatch_delay', 'deviation': 1.513, 'importance': 0.0476, 'value': 1.513}]",2025-12-31 18:41:00,抢修,低,华北,开关柜,老化,1933.73
TK000090,0,0.2506,0,0,"[{'feature': 'response_time', 'deviation': 1.965, 'importance': 0.0476, 'value': 1.965}, {'feature': 'arrival_delay', 'deviation': 1.545, 'importance': 0.0476, 'value': 1.545}]",2025-12-15 09:46:00,抢修,中,华北,电容器,老化,4541.98
TK000091,0,0.2985,0,0,"[{'feature': 'priority_enc', 'deviation': 1.531, 'importance': 0.0476, 'value': 1.531}]",2025-05-14 16:18:00,巡检,高,华东,发电机,机械故障,838.81
TK000092,0,0.1643,0,0,"[{'feature': 'dispatch_delay', 'deviation': 1.705, 'importance': 0.0476, 'value': -1.705}]",2025-11-11 13:40:00,巡检,中,华中,变压器,机械故障,1629.25
TK000093,0,0.1873,0,0,"[{'feature': 'attachment_count', 'deviation': 1.606, 'importance': 0.0476, 'value': -1.606}, {'feature': 'accept_delay', 'deviation': 1.545, 'importance': 0.0476, 'value': -1.545}]",2025-01-12 16:32:00,抢修,中,西北,电容器,电气故障,2277.14
TK000094,0,0.2131,0,0,"[{'feature': 'ticket_type_enc', 'deviation': 1.845, 'importance': 0.0476, 'value': 1.845}, {'feature': 'technician_workload_today', 'deviation': 1.542, 'importance': 0.0476, 'value': -1.542}]",2025-05-15 20:33:00,改造,中,华中,变压器,机械故障,3378.21
TK000095,0,0.2821,0,0,"[{'feature': 'fault_category_enc', 'deviation': 1.546, 'importance': 0.0476, 'value': 1.546}, {'feature': 'technician_workload_today', 'deviation': 1.51, 'importance': 0.0476, 'value': 1.51}]",2025-03-12 17:41:00,抢修,中,华中,配电箱,过热,3279.35
TK000096,0,0.2951,0,0,"[{'feature': 'priority_enc', 'deviation': 1.531, 'importance': 0.0476, 'value': 1.531}]",2025-02-27 13:28:00,抢修,高,华北,配电箱,机械故障,2461.46
TK000097,1,0.4364,0,1,"[{'feature': 'reopen_within_days', 'deviation': 3.303, 'importance': 0.0476, 'value': 3.303}, {'feature': 'customer_satisfaction', 'deviation': 1.682, 'importance': 0.0476, 'value': 1.682}, {'feature': 'arrival_delay', 'deviation': 1.654, 'importance': 0.0476, 'value': -1.654}]",2025-05-01 08:29:00,巡检,中,华东,电容器,漏电,4819.54
