date,material_id,site_id,stock_on_hand,daily_consumed,daily_replenished
2025-04-12,MAT0001,SITE0001,1112,15,0
2025-04-13,MAT0001,SITE0001,1110,2,0
2025-04-14,MAT0001,SITE0001,1133,12,35
2025-04-15,MAT0001,SITE0001,1125,8,0
2025-04-16,MAT0001,SITE0001,1108,17,0
2025-04-17,MAT0001,SITE0001,1095,13,0
2025-04-18,MAT0001,SITE0001,1171,8,84
2025-04-19,MAT0001,SITE0001,1171,0,0
2025-04-20,MAT0001,SITE0001,1151,20,0
2025-04-21,MAT0001,SITE0001,1141,10,0
2025-04-22,MAT0001,SITE0001,1226,11,96
2025-04-23,MAT0001,SITE0001,1302,11,87
2025-04-24,MAT0001,SITE0001,1326,6,30
2025-04-25,MAT0001,SITE0001,1318,8,0
2025-04-26,MAT0001,SITE0001,1318,0,0
2025-04-27,MAT0001,SITE0001,1303,15,0
2025-04-28,MAT0001,SITE0001,1297,6,0
2025-04-29,MAT0001,SITE0001,1295,2,0
2025-04-30,MAT0001,SITE0001,1287,8,0
2025-05-01,MAT0001,SITE0001,1275,12,0
2025-05-02,MAT0001,SITE0001,1263,12,0
2025-05-03,MAT0001,SITE0001,1248,15,0
2025-05-04,MAT0001,SITE0001,1239,9,0
2025-05-05,MAT0001,SITE0001,1230,9,0
2025-05-06,MAT0001,SITE0001,1311,0,81
2025-05-07,MAT0001,SITE0001,1308,3,0
2025-05-08,MAT0001,SITE0001,1295,13,0
2025-05-09,MAT0001,SITE0001,1289,6,0
2025-05-10,MAT0001,SITE0001,1279,10,0
2025-05-11,MAT0001,SITE0001,1274,5,0
2025-05-12,MAT0001,SITE0001,1259,15,0
2025-05-13,MAT0001,SITE0001,1253,6,0
2025-05-14,MAT0001,SITE0001,1249,4,0
2025-05-15,MAT0001,SITE0001,1320,17,88
2025-05-16,MAT0001,SITE0001,1302,18,0
2025-05-17,MAT0001,SITE0001,1381,10,89
2025-05-18,MAT0001,SITE0001,1371,10,0
2025-05-19,MAT0001,SITE0001,1443,6,78
2025-05-20,MAT0001,SITE0001,1442,1,0
2025-05-21,MAT0001,SITE0001,1456,6,20
2025-05-22,MAT0001,SITE0001,1456,0,0
2025-05-23,MAT0001,SITE0001,1433,23,0
2025-05-24,MAT0001,SITE0001,1421,12,0
2025-05-25,MAT0001,SITE0001,1407,14,0
2025-05-26,MAT0001,SITE0001,1392,15,0
2025-05-27,MAT0001,SITE0001,1381,11,0
2025-05-28,MAT0001,SITE0001,1403,13,35
2025-05-29,MAT0001,SITE0001,1396,7,0
2025-05-30,MAT0001,SITE0001,1382,14,0
2025-05-31,MAT0001,SITE0001,1420,2,40
2025-06-01,MAT0001,SITE0001,1460,11,51
2025-06-02,MAT0001,SITE0001,1451,9,0
2025-06-03,MAT0001,SITE0001,1435,16,0
2025-06-04,MAT0001,SITE0001,1418,17,0
2025-06-05,MAT0001,SITE0001,1450,15,47
2025-06-06,MAT0001,SITE0001,1442,8,0
2025-06-07,MAT0001,SITE0001,1436,6,0
2025-06-08,MAT0001,SITE0001,1432,4,0
2025-06-09,MAT0001,SITE0001,1466,18,52
2025-06-10,MAT0001,SITE0001,1466,0,0
2025-06-11,MAT0001,SITE0001,1491,16,41
2025-06-12,MAT0001,SITE0001,1486,5,0
2025-06-13,MAT0001,SITE0001,1479,7,0
2025-06-14,MAT0001,SITE0001,1517,21,59
2025-06-15,MAT0001,SITE0001,1509,8,0
2025-06-16,MAT0001,SITE0001,1487,22,0
2025-06-17,MAT0001,SITE0001,1480,7,0
2025-06-18,MAT0001,SITE0001,1472,8,0
2025-06-19,MAT0001,SITE0001,1466,6,0
2025-06-20,MAT0001,SITE0001,1454,12,0
2025-06-21,MAT0001,SITE0001,1513,2,61
2025-06-22,MAT0001,SITE0001,1497,16,0
2025-06-23,MAT0001,SITE0001,1490,7,0
2025-06-24,MAT0001,SITE0001,1484,6,0
2025-06-25,MAT0001,SITE0001,1475,9,0
2025-06-26,MAT0001,SITE0001,1471,4,0
2025-06-27,MAT0001,SITE0001,1459,12,0
2025-06-28,MAT0001,SITE0001,1446,13,0
2025-06-29,MAT0001,SITE0001,1473,21,48
2025-06-30,MAT0001,SITE0001,1484,11,22
2025-07-01,MAT0001,SITE0001,1476,8,0
2025-07-02,MAT0001,SITE0001,1465,11,0
2025-07-03,MAT0001,SITE0001,1480,5,20
2025-07-04,MAT0001,SITE0001,1470,10,0
2025-07-05,MAT0001,SITE0001,1465,5,0
2025-07-06,MAT0001,SITE0001,1456,9,0
2025-07-07,MAT0001,SITE0001,1441,15,0
2025-07-08,MAT0001,SITE0001,1435,6,0
2025-07-09,MAT0001,SITE0001,1421,14,0
2025-07-10,MAT0001,SITE0001,1407,14,0
2025-07-11,MAT0001,SITE0001,1398,9,0
2025-07-12,MAT0001,SITE0001,1489,5,96
2025-07-13,MAT0001,SITE0001,1489,0,0
2025-07-14,MAT0001,SITE0001,1536,9,56
2025-07-15,MAT0001,SITE0001,1570,11,45
2025-07-16,MAT0001,SITE0001,1563,7,0
2025-07-17,MAT0001,SITE0001,1549,14,0
2025-07-18,MAT0001,SITE0001,1547,2,0
2025-07-19,MAT0001,SITE0001,1541,6,0
2025-07-20,MAT0001,SITE0001,1540,1,0
2025-07-21,MAT0001,SITE0001,1616,3,79
2025-07-22,MAT0001,SITE0001,1638,14,36
2025-07-23,MAT0001,SITE0001,1628,10,0
2025-07-24,MAT0001,SITE0001,1622,6,0
2025-07-25,MAT0001,SITE0001,1611,11,0
2025-07-26,MAT0001,SITE0001,1679,5,73
2025-07-27,MAT0001,SITE0001,1668,11,0
2025-07-28,MAT0001,SITE0001,1654,14,0
2025-07-29,MAT0001,SITE0001,1643,11,0
2025-07-30,MAT0001,SITE0001,1627,16,0
2025-07-31,MAT0001,SITE0001,1666,12,51
2025-08-01,MAT0001,SITE0001,1664,2,0
2025-08-02,MAT0001,SITE0001,1682,9,27
2025-08-03,MAT0001,SITE0001,1734,14,66
2025-08-04,MAT0001,SITE0001,1728,6,0
2025-08-05,MAT0001,SITE0001,1801,8,81
2025-08-06,MAT0001,SITE0001,1896,0,95
2025-08-07,MAT0001,SITE0001,1878,18,0
2025-08-08,MAT0001,SITE0001,1923,11,56
2025-08-09,MAT0001,SITE0001,1916,7,0
2025-08-10,MAT0001,SITE0001,1986,11,81
2025-08-11,MAT0001,SITE0001,1973,13,0
2025-08-12,MAT0001,SITE0001,1963,10,0
2025-08-13,MAT0001,SITE0001,1984,3,24
2025-08-14,MAT0001,SITE0001,1984,0,0
2025-08-15,MAT0001,SITE0001,1975,9,0
2025-08-16,MAT0001,SITE0001,1960,15,0
2025-08-17,MAT0001,SITE0001,1946,14,0
2025-08-18,MAT0001,SITE0001,1935,11,0
2025-08-19,MAT0001,SITE0001,1928,7,0
2025-08-20,MAT0001,SITE0001,2015,7,94
2025-08-21,MAT0001,SITE0001,2008,7,0
2025-08-22,MAT0001,SITE0001,2057,12,61
2025-08-23,MAT0001,SITE0001,2053,4,0
2025-08-24,MAT0001,SITE0001,2074,0,21
2025-08-25,MAT0001,SITE0001,2062,12,0
2025-08-26,MAT0001,SITE0001,2054,8,0
2025-08-27,MAT0001,SITE0001,2139,9,94
2025-08-28,MAT0001,SITE0001,2181,14,56
2025-08-29,MAT0001,SITE0001,2178,3,0
2025-08-30,MAT0001,SITE0001,2187,13,22
2025-08-31,MAT0001,SITE0001,2262,16,91
2025-09-01,MAT0001,SITE0001,2249,13,0
2025-09-02,MAT0001,SITE0001,2278,10,39
2025-09-03,MAT0001,SITE0001,2322,4,48
2025-09-04,MAT0001,SITE0001,2359,12,49
2025-09-05,MAT0001,SITE0001,2353,6,0
2025-09-06,MAT0001,SITE0001,2341,12,0
2025-09-07,MAT0001,SITE0001,2336,5,0
2025-09-08,MAT0001,SITE0001,2333,3,0
2025-09-09,MAT0001,SITE0001,2319,14,0
2025-09-10,MAT0001,SITE0001,2311,8,0
2025-09-11,MAT0001,SITE0001,2297,14,0
2025-09-12,MAT0001,SITE0001,2290,7,0
2025-09-13,MAT0001,SITE0001,2285,5,0
2025-09-14,MAT0001,SITE0001,2346,7,68
2025-09-15,MAT0001,SITE0001,2362,8,24
2025-09-16,MAT0001,SITE0001,2462,0,100
2025-09-17,MAT0001,SITE0001,2447,15,0
2025-09-18,MAT0001,SITE0001,2519,3,75
2025-09-19,MAT0001,SITE0001,2507,12,0
2025-09-20,MAT0001,SITE0001,2496,11,0
2025-09-21,MAT0001,SITE0001,2484,12,0
2025-09-22,MAT0001,SITE0001,2473,11,0
2025-09-23,MAT0001,SITE0001,2463,10,0
2025-09-24,MAT0001,SITE0001,2456,7,0
2025-09-25,MAT0001,SITE0001,2493,3,40
2025-09-26,MAT0001,SITE0001,2492,1,0
2025-09-27,MAT0001,SITE0001,2536,12,56
2025-09-28,MAT0001,SITE0001,2523,13,0
2025-09-29,MAT0001,SITE0001,2516,7,0
2025-09-30,MAT0001,SITE0001,2506,10,0
2025-10-01,MAT0001,SITE0001,2500,6,0
2025-10-02,MAT0001,SITE0001,2485,15,0
2025-10-03,MAT0001,SITE0001,2502,5,22
2025-10-04,MAT0001,SITE0001,2492,10,0
2025-10-05,MAT0001,SITE0001,2489,3,0
2025-10-06,MAT0001,SITE0001,2479,10,0
2025-10-07,MAT0001,SITE0001,2464,15,0
2025-10-08,MAT0001,SITE0001,2450,14,0
2025-10-09,MAT0001,SITE0001,2447,3,0
2025-10-10,MAT0001,SITE0001,2443,4,0
2025-10-11,MAT0001,SITE0001,2512,18,87
2025-10-12,MAT0001,SITE0001,2555,12,55
2025-10-13,MAT0001,SITE0001,2545,10,0
2025-10-14,MAT0001,SITE0001,2534,11,0
2025-10-15,MAT0001,SITE0001,2526,8,0
2025-10-16,MAT0001,SITE0001,2521,5,0
2025-10-17,MAT0001,SITE0001,2513,8,0
2025-10-18,MAT0001,SITE0001,2543,8,38
2025-10-19,MAT0001,SITE0001,2539,4,0
2025-10-20,MAT0001,SITE0001,2533,6,0
2025-10-21,MAT0001,SITE0001,2524,9,0
2025-10-22,MAT0001,SITE0001,2518,6,0
2025-10-23,MAT0001,SITE0001,2542,12,36
2025-10-24,MAT0001,SITE0001,2528,14,0
2025-10-25,MAT0001,SITE0001,2515,13,0
2025-10-26,MAT0001,SITE0001,2503,12,0
2025-10-27,MAT0001,SITE0001,2480,23,0
2025-10-28,MAT0001,SITE0001,2470,10,0
2025-10-29,MAT0001,SITE0001,2457,13,0
2025-10-30,MAT0001,SITE0001,2494,14,51
2025-10-31,MAT0001,SITE0001,2481,13,0
2025-11-01,MAT0001,SITE0001,2472,9,0
2025-11-02,MAT0001,SITE0001,2462,10,0
2025-11-03,MAT0001,SITE0001,2460,2,0
2025-11-04,MAT0001,SITE0001,2462,21,23
2025-11-05,MAT0001,SITE0001,2451,11,0
2025-11-06,MAT0001,SITE0001,2439,12,0
2025-11-07,MAT0001,SITE0001,2418,21,0
2025-11-08,MAT0001,SITE0001,2410,8,0
2025-11-09,MAT0001,SITE0001,2398,12,0
2025-11-10,MAT0001,SITE0001,2468,10,80
2025-11-11,MAT0001,SITE0001,2484,14,30
2025-11-12,MAT0001,SITE0001,2503,9,28
2025-11-13,MAT0001,SITE0001,2500,3,0
2025-11-14,MAT0001,SITE0001,2525,14,39
2025-11-15,MAT0001,SITE0001,2516,9,0
2025-11-16,MAT0001,SITE0001,2535,15,34
2025-11-17,MAT0001,SITE0001,2574,13,52
2025-11-18,MAT0001,SITE0001,2557,17,0
2025-11-19,MAT0001,SITE0001,2542,15,0
2025-11-20,MAT0001,SITE0001,2605,1,64
2025-11-21,MAT0001,SITE0001,2603,2,0
2025-11-22,MAT0001,SITE0001,2596,7,0
2025-11-23,MAT0001,SITE0001,2585,11,0
2025-11-24,MAT0001,SITE0001,2580,5,0
2025-11-25,MAT0001,SITE0001,2575,5,0
2025-11-26,MAT0001,SITE0001,2575,0,0
2025-11-27,MAT0001,SITE0001,2607,8,40
2025-11-28,MAT0001,SITE0001,2689,13,95
2025-11-29,MAT0001,SITE0001,2716,13,40
2025-11-30,MAT0001,SITE0001,2710,6,0
2025-12-01,MAT0001,SITE0001,2769,14,73
2025-12-02,MAT0001,SITE0001,2760,9,0
2025-12-03,MAT0001,SITE0001,2751,9,0
2025-12-04,MAT0001,SITE0001,2746,5,0
2025-12-05,MAT0001,SITE0001,2739,7,0
2025-12-06,MAT0001,SITE0001,2727,12,0
2025-12-07,MAT0001,SITE0001,2713,14,0
2025-12-08,MAT0001,SITE0001,2713,0,0
2025-12-09,MAT0001,SITE0001,2709,4,0
2025-12-10,MAT0001,SITE0001,2698,11,0
2025-12-11,MAT0001,SITE0001,2691,7,0
2025-12-12,MAT0001,SITE0001,2685,6,0
2025-12-13,MAT0001,SITE0001,2673,12,0
2025-12-14,MAT0001,SITE0001,2713,18,58
2025-12-15,MAT0001,SITE0001,2706,7,0
2025-12-16,MAT0001,SITE0001,2699,7,0
2025-12-17,MAT0001,SITE0001,2684,15,0
2025-12-18,MAT0001,SITE0001,2751,3,70
2025-12-19,MAT0001,SITE0001,2815,1,65
2025-12-20,MAT0001,SITE0001,2807,8,0
2025-12-21,MAT0001,SITE0001,2799,8,0
2025-12-22,MAT0001,SITE0001,2787,12,0
2025-12-23,MAT0001,SITE0001,2784,3,0
2025-12-24,MAT0001,SITE0001,2783,1,0
2025-12-25,MAT0001,SITE0001,2771,12,0
2025-12-26,MAT0001,SITE0001,2807,10,46
2025-12-27,MAT0001,SITE0001,2815,12,20
2025-12-28,MAT0001,SITE0001,2802,13,0
2025-12-29,MAT0001,SITE0001,2791,11,0
2025-12-30,MAT0001,SITE0001,2778,13,0
2025-12-31,MAT0001,SITE0001,2774,4,0
2025-01-01,MAT0002,SITE0001,360,6,0
2025-01-02,MAT0002,SITE0001,353,7,0
2025-01-03,MAT0002,SITE0001,336,17,0
2025-01-04,MAT0002,SITE0001,329,7,0
2025-01-05,MAT0002,SITE0001,340,10,21
2025-01-06,MAT0002,SITE0001,331,9,0
2025-01-07,MAT0002,SITE0001,327,4,0
2025-01-08,MAT0002,SITE0001,342,5,20
2025-01-09,MAT0002,SITE0001,426,0,84
2025-01-10,MAT0002,SITE0001,414,12,0
2025-01-11,MAT0002,SITE0001,471,12,69
2025-01-12,MAT0002,SITE0001,459,12,0
2025-01-13,MAT0002,SITE0001,443,16,0
2025-01-14,MAT0002,SITE0001,434,9,0
2025-01-15,MAT0002,SITE0001,426,8,0
2025-01-16,MAT0002,SITE0001,418,8,0
2025-01-17,MAT0002,SITE0001,400,18,0
2025-01-18,MAT0002,SITE0001,392,8,0
2025-01-19,MAT0002,SITE0001,376,16,0
2025-01-20,MAT0002,SITE0001,365,11,0
2025-01-21,MAT0002,SITE0001,351,14,0
2025-01-22,MAT0002,SITE0001,344,7,0
2025-01-23,MAT0002,SITE0001,328,16,0
2025-01-24,MAT0002,SITE0001,323,5,0
2025-01-25,MAT0002,SITE0001,323,0,0
2025-01-26,MAT0002,SITE0001,365,5,47
2025-01-27,MAT0002,SITE0001,363,2,0
2025-01-28,MAT0002,SITE0001,343,20,0
2025-01-29,MAT0002,SITE0001,331,12,0
2025-01-30,MAT0002,SITE0001,317,14,0
2025-01-31,MAT0002,SITE0001,311,6,0
2025-02-01,MAT0002,SITE0001,301,10,0
2025-02-02,MAT0002,SITE0001,317,6,22
2025-02-03,MAT0002,SITE0001,307,10,0
2025-02-04,MAT0002,SITE0001,395,5,93
2025-02-05,MAT0002,SITE0001,382,13,0
2025-02-06,MAT0002,SITE0001,448,9,75
2025-02-07,MAT0002,SITE0001,438,10,0
2025-02-08,MAT0002,SITE0001,426,12,0
2025-02-09,MAT0002,SITE0001,419,7,0
2025-02-10,MAT0002,SITE0001,413,6,0
2025-02-11,MAT0002,SITE0001,392,21,0
2025-02-12,MAT0002,SITE0001,391,1,0
2025-02-13,MAT0002,SITE0001,380,11,0
2025-02-14,MAT0002,SITE0001,380,0,0
2025-02-15,MAT0002,SITE0001,375,5,0
2025-02-16,MAT0002,SITE0001,370,5,0
2025-02-17,MAT0002,SITE0001,360,10,0
2025-02-18,MAT0002,SITE0001,379,16,35
2025-02-19,MAT0002,SITE0001,377,2,0
2025-02-20,MAT0002,SITE0001,422,17,62
2025-02-21,MAT0002,SITE0001,414,8,0
2025-02-22,MAT0002,SITE0001,450,16,52
2025-02-23,MAT0002,SITE0001,438,12,0
2025-02-24,MAT0002,SITE0001,427,11,0
2025-02-25,MAT0002,SITE0001,415,12,0
2025-02-26,MAT0002,SITE0001,402,13,0
2025-02-27,MAT0002,SITE0001,395,7,0
2025-02-28,MAT0002,SITE0001,391,4,0
2025-03-01,MAT0002,SITE0001,385,6,0
2025-03-02,MAT0002,SITE0001,378,7,0
2025-03-03,MAT0002,SITE0001,365,13,0
2025-03-04,MAT0002,SITE0001,353,12,0
2025-03-05,MAT0002,SITE0001,336,17,0
2025-03-06,MAT0002,SITE0001,318,18,0
2025-03-07,MAT0002,SITE0001,372,5,59
2025-03-08,MAT0002,SITE0001,447,9,84
2025-03-09,MAT0002,SITE0001,474,11,38
2025-03-10,MAT0002,SITE0001,465,9,0
2025-03-11,MAT0002,SITE0001,448,17,0
2025-03-12,MAT0002,SITE0001,438,10,0
2025-03-13,MAT0002,SITE0001,433,5,0
2025-03-14,MAT0002,SITE0001,410,23,0
2025-03-15,MAT0002,SITE0001,398,12,0
2025-03-16,MAT0002,SITE0001,459,16,77
2025-03-17,MAT0002,SITE0001,451,8,0
2025-03-18,MAT0002,SITE0001,447,4,0
2025-03-19,MAT0002,SITE0001,478,23,54
2025-03-20,MAT0002,SITE0001,514,7,43
2025-03-21,MAT0002,SITE0001,536,9,31
2025-03-22,MAT0002,SITE0001,522,14,0
2025-03-23,MAT0002,SITE0001,511,11,0
2025-03-24,MAT0002,SITE0001,586,7,82
2025-03-25,MAT0002,SITE0001,577,9,0
2025-03-26,MAT0002,SITE0001,572,5,0
2025-03-27,MAT0002,SITE0001,644,4,76
2025-03-28,MAT0002,SITE0001,630,14,0
2025-03-29,MAT0002,SITE0001,620,10,0
2025-03-30,MAT0002,SITE0001,606,14,0
2025-03-31,MAT0002,SITE0001,590,16,0
2025-04-01,MAT0002,SITE0001,581,9,0
2025-04-02,MAT0002,SITE0001,575,6,0
2025-04-03,MAT0002,SITE0001,566,9,0
2025-04-04,MAT0002,SITE0001,559,7,0
2025-04-05,MAT0002,SITE0001,554,5,0
2025-04-06,MAT0002,SITE0001,544,10,0
2025-04-07,MAT0002,SITE0001,612,13,81
2025-04-08,MAT0002,SITE0001,605,7,0
2025-04-09,MAT0002,SITE0001,676,15,86
2025-04-10,MAT0002,SITE0001,660,16,0
2025-04-11,MAT0002,SITE0001,651,9,0
2025-04-12,MAT0002,SITE0001,681,11,41
2025-04-13,MAT0002,SITE0001,668,13,0
2025-04-14,MAT0002,SITE0001,653,15,0
2025-04-15,MAT0002,SITE0001,646,7,0
2025-04-16,MAT0002,SITE0001,630,16,0
2025-04-17,MAT0002,SITE0001,621,9,0
2025-04-18,MAT0002,SITE0001,602,19,0
2025-04-19,MAT0002,SITE0001,594,8,0
2025-04-20,MAT0002,SITE0001,581,13,0
2025-04-21,MAT0002,SITE0001,572,9,0
2025-04-22,MAT0002,SITE0001,555,17,0
2025-04-23,MAT0002,SITE0001,545,10,0
2025-04-24,MAT0002,SITE0001,535,10,0
2025-04-25,MAT0002,SITE0001,528,7,0
2025-04-26,MAT0002,SITE0001,513,15,0
2025-04-27,MAT0002,SITE0001,499,14,0
2025-04-28,MAT0002,SITE0001,481,18,0
2025-04-29,MAT0002,SITE0001,465,16,0
2025-04-30,MAT0002,SITE0001,452,13,0
2025-05-01,MAT0002,SITE0001,440,12,0
2025-05-02,MAT0002,SITE0001,521,10,91
2025-05-03,MAT0002,SITE0001,512,9,0
2025-05-04,MAT0002,SITE0001,520,19,27
2025-05-05,MAT0002,SITE0001,519,1,0
2025-05-06,MAT0002,SITE0001,512,7,0
2025-05-07,MAT0002,SITE0001,597,6,91
2025-05-08,MAT0002,SITE0001,590,7,0
2025-05-09,MAT0002,SITE0001,584,6,0
2025-05-10,MAT0002,SITE0001,564,20,0
2025-05-11,MAT0002,SITE0001,553,11,0
2025-05-12,MAT0002,SITE0001,541,12,0
2025-05-13,MAT0002,SITE0001,530,11,0
2025-05-14,MAT0002,SITE0001,513,17,0
2025-05-15,MAT0002,SITE0001,509,4,0
2025-05-16,MAT0002,SITE0001,506,3,0
2025-05-17,MAT0002,SITE0001,501,5,0
2025-05-18,MAT0002,SITE0001,483,18,0
2025-05-19,MAT0002,SITE0001,474,9,0
2025-05-20,MAT0002,SITE0001,468,6,0
2025-05-21,MAT0002,SITE0001,464,4,0
2025-05-22,MAT0002,SITE0001,453,11,0
2025-05-23,MAT0002,SITE0001,475,7,29
2025-05-24,MAT0002,SITE0001,463,12,0
2025-05-25,MAT0002,SITE0001,456,7,0
2025-05-26,MAT0002,SITE0001,439,17,0
2025-05-27,MAT0002,SITE0001,433,6,0
2025-05-28,MAT0002,SITE0001,420,13,0
2025-05-29,MAT0002,SITE0001,409,11,0
2025-05-30,MAT0002,SITE0001,404,5,0
2025-05-31,MAT0002,SITE0001,401,3,0
2025-06-01,MAT0002,SITE0001,388,13,0
2025-06-02,MAT0002,SITE0001,427,13,52
2025-06-03,MAT0002,SITE0001,453,8,34
2025-06-04,MAT0002,SITE0001,447,6,0
2025-06-05,MAT0002,SITE0001,447,0,0
2025-06-06,MAT0002,SITE0001,498,5,56
2025-06-07,MAT0002,SITE0001,483,15,0
2025-06-08,MAT0002,SITE0001,469,14,0
2025-06-09,MAT0002,SITE0001,460,9,0
2025-06-10,MAT0002,SITE0001,497,3,40
2025-06-11,MAT0002,SITE0001,497,0,0
2025-06-12,MAT0002,SITE0001,482,15,0
2025-06-13,MAT0002,SITE0001,543,7,68
2025-06-14,MAT0002,SITE0001,530,13,0
2025-06-15,MAT0002,SITE0001,515,15,0
2025-06-16,MAT0002,SITE0001,508,7,0
2025-06-17,MAT0002,SITE0001,518,11,21
2025-06-18,MAT0002,SITE0001,549,6,37
2025-06-19,MAT0002,SITE0001,601,7,59
2025-06-20,MAT0002,SITE0001,588,13,0
2025-06-21,MAT0002,SITE0001,580,8,0
2025-06-22,MAT0002,SITE0001,624,6,50
2025-06-23,MAT0002,SITE0001,617,7,0
2025-06-24,MAT0002,SITE0001,639,14,36
2025-06-25,MAT0002,SITE0001,639,0,0
2025-06-26,MAT0002,SITE0001,690,9,60
2025-06-27,MAT0002,SITE0001,738,14,62
2025-06-28,MAT0002,SITE0001,735,3,0
2025-06-29,MAT0002,SITE0001,727,8,0
2025-06-30,MAT0002,SITE0001,705,22,0
