ticket_id,created_at,ticket_type,priority,sla_minutes,region,site_id,equipment_id,equipment_type,equipment_model,fault_category,fault_subcategory,fault_description,severity,equipment_age_months,last_fault_at,dispatched_at,accepted_at,arrived_at,repair_started_at,repair_finished_at,inspected_at,accepted_by_customer_at,closed_at,status_history,technician_id,team_id,technician_level,technician_workload_today,total_cost,budget_limit,is_warranty,photo_count,report_uploaded,customer_signature,attachment_count,photo_taken_at,is_reopened,reopen_within_days,customer_complaint,customer_satisfaction,qc_audit_result
TK000011,2025-07-06 13:04:00,改造,低,1440,西南,SITE0011,EQ00170,变压器,Model-F318,电气故障,电气故障-5,变压器出现电气故障问题,轻微,64,,2025-07-06 13:28:00,2025-07-06 13:54:00,2025-07-06 14:56:00,2025-07-06 15:13:00,2025-07-06 18:20:00,2025-07-06 18:50:00,,2025-07-06 19:59:00,"[{'ts': '2025-07-06T13:04:00', 'from': '新建', 'to': '已派单', 'actor': '系统'}, {'ts': '2025-07-06T13:28:00', 'from': '已派单', 'to': '已接单', 'actor': 'TECH0015'}, {'ts': '2025-07-06T14:56:00', 'from': '已接单', 'to': '已到场', 'actor': 'TECH0015'}, {'ts': '2025-07-06T18:20:00', 'from': '已到场', 'to': '已修复', 'actor': 'TECH0015'}, {'ts': '2025-07-06T19:59:00', 'from': '已修复', 'to': '已关闭', 'actor': '系统'}]",TECH0003,TEAM03,高,6,3418.86,5921.34,True,9,True,False,4,['2025-07-06T13:04:00'],False,,False,4.0,合规
TK000012,2025-02-17 20:48:00,抢修,高,240,华南,SITE0005,EQ00007,变压器,Model-E709,短路,短路-3,变压器出现短路问题,轻微,78,,2025-02-17 21:47:00,2025-02-17 22:16:00,2025-02-17 22:35:00,2025-02-17 22:53:00,2025-02-18 03:06:00,,,2025-02-18 04:36:00,"[{'ts': '2025-02-17T20:48:00', 'from': '新建', 'to': '已派单', 'actor': '系统'}, {'ts': '2025-02-17T21:47:00', 'from': '已派单', 'to': '已接单', 'actor': 'TECH0005'}, {'ts': '2025-02-17T22:35:00', 'from': '已接单', 'to': '已到场', 'actor': 'TECH0015'}, {'ts': '2025-02-18T03:06:00', 'from': '已到场', 'to': '已修复', 'actor': 'TECH0017'}, {'ts': '2025-02-18T04:36:00', 'from': '已修复', 'to': '已关闭', 'actor': '系统'}]",TECH0020,TEAM05,初,7,8928.86,2020.03,False,7,True,False,8,['2025-02-17T20:48:00'],False,,False,4.0,待审
TK000013,2025-10-08 14:57:00,抢修,低,1440,华中,SITE0009,EQ00193,开关柜,Model-E812,环境损坏,环境损坏-1,开关柜出现环境损坏问题,一般,98,,2025-10-08 15:51:00,2025-10-08 16:12:00,2025-10-08 17:24:00,2025-10-08 17:36:00,2025-10-08 23:16:00,,,2025-10-09 00:01:00,"[{'ts': '2025-10-08T14:57:00', 'from': '新建', 'to': '已派单', 'actor': '系统'}, {'ts': '2025-10-08T15:51:00', 'from': '已派单', 'to': '已接单', 'actor': 'TECH0007'}, {'ts': '2025-10-08T17:24:00', 'from': '已接单', 'to': '已到场', 'actor': 'TECH0014'}, {'ts': '2025-10-08T23:16:00', 'from': '已到场', 'to': '已修复', 'actor': 'TECH0013'}, {'ts': '2025-10-09T00:01:00', 'from': '已修复', 'to': '已关闭', 'actor': '系统'}]",TECH0013,TEAM04,中,1,1666.58,2463.38,True,7,True,True,3,['2025-10-08T14:57:00'],False,,False,3.0,合规
TK000014,2025-06-30 11:48:00,巡检,低,1440,华中,SITE0018,EQ00192,配电箱,Model-C316,机械故障,机械故障-4,配电箱出现机械故障问题,轻微,114,2024-07-06 11:48:00,2025-06-30 12:07:00,2025-06-30 12:27:00,2025-06-30 13:05:00,2025-06-30 13:23:00,2025-06-30 16:02:00,2025-06-30 16:31:00,,2025-06-30 17:14:00,"[{'ts': '2025-06-30T11:48:00', 'from': '新建', 'to': '已派单', 'actor': '系统'}, {'ts': '2025-06-30T12:07:00', 'from': '已派单', 'to': '已接单', 'actor': 'TECH0006'}, {'ts': '2025-06-30T13:05:00', 'from': '已接单', 'to': '已到场', 'actor': 'TECH0002'}, {'ts': '2025-06-30T16:02:00', 'from': '已到场', 'to': '已修复', 'actor': 'TECH0009'}, {'ts': '2025-06-30T17:14:00', 'from': '已修复', 'to': '已关闭', 'actor': '系统'}, {'ts': '2025-07-04T17:14:00', 'from': '已关闭', 'to': '已重开', 'actor': '客户'}]",TECH0009,TEAM04,持证,5,3648.49,6159.94,False,19,True,False,9,['2025-06-30T11:48:00'],True,6.0,False,,合规
TK000015,2025-02-11 14:01:00,保养,紧急,60,华北,SITE0008,EQ00167,变压器,Model-D832,环境损坏,环境损坏-2,变压器出现环境损坏问题,轻微,5,2024-08-06 14:01:00,2025-02-11 14:54:00,2025-02-11 14:59:00,2025-02-11 15:40:00,2025-02-11 15:45:00,2025-02-11 17:47:00,2025-02-11 18:14:00,,2025-02-11 19:16:00,"[{'ts': '2025-02-11T14:01:00', 'from': '新建', 'to': '已派单', 'actor': '系统'}, {'ts': '2025-02-11T14:54:00', 'from': '已派单', 'to': '已接单', 'actor': 'TECH0010'}, {'ts': '2025-02-11T15:40:00', 'from': '已接单', 'to': '已到场', 'actor': 'TECH0019'}, {'ts': '2025-02-11T17:47:00', 'from': '已到场', 'to': '已修复', 'actor': 'TECH0013'}, {'ts': '2025-02-11T19:16:00', 'from': '已修复', 'to': '已关闭', 'actor': '系统'}]",TECH0008,TEAM01,初,5,7116.01,10144.04,False,11,True,True,1,['2025-02-11T14:01:00'],False,,False,5.0,合规
TK000016,2025-12-17 16:51:00,抢修,低,1440,华东,SITE0012,EQ00137,电容器,Model-C561,电气故障,电气故障-2,电容器出现电气故障问题,一般,64,,2025-12-17 17:37:00,2025-12-17 17:52:00,2025-12-17 18:03:00,2025-12-17 18:21:00,2025-12-18 01:55:00,,2025-12-18 03:33:00,2025-12-18 03:50:00,"[{'ts': '2025-12-17T16:51:00', 'from': '新建', 'to': '已派单', 'actor': '系统'}, {'ts': '2025-12-17T17:37:00', 'from': '已派单', 'to': '已接单', 'actor': 'TECH0011'}, {'ts': '2025-12-17T18:03:00', 'from': '已接单', 'to': '已到场', 'actor': 'TECH0008'}, {'ts': '2025-12-18T01:55:00', 'from': '已到场', 'to': '已修复', 'actor': 'TECH0003'}, {'ts': '2025-12-18T03:50:00', 'from': '已修复', 'to': '已关闭', 'actor': '系统'}]",TECH0011,TEAM01,高,8,3565.81,5009.4,False,20,True,False,8,['2025-12-17T16:51:00'],False,,False,4.0,待审
TK000017,2025-06-16 09:31:00,抢修,中,480,华北,SITE0009,EQ00153,配电箱,Model-F564,漏电,漏电-3,配电箱出现漏电问题,一般,66,,2025-06-16 09:48:00,2025-06-16 09:55:00,2025-06-16 10:35:00,2025-06-16 10:53:00,2025-06-16 17:21:00,2025-06-16 17:33:00,2025-06-16 18:22:00,2025-06-16 18:33:00,"[{'ts': '2025-06-16T09:31:00', 'from': '新建', 'to': '已派单', 'actor': '系统'}, {'ts': '2025-06-16T09:48:00', 'from': '已派单', 'to': '已接单', 'actor': 'TECH0018'}, {'ts': '2025-06-16T10:35:00', 'from': '已接单', 'to': '已到场', 'actor': 'TECH0011'}, {'ts': '2025-06-16T17:21:00', 'from': '已到场', 'to': '已修复', 'actor': 'TECH0012'}, {'ts': '2025-06-16T18:33:00', 'from': '已修复', 'to': '已关闭', 'actor': '系统'}]",TECH0011,TEAM01,持证,3,2296.06,2553.38,False,12,True,True,9,['2025-06-16T09:31:00'],False,,False,4.0,合规
TK000018,2025-04-09 10:47:00,巡检,中,480,西南,SITE0020,EQ00073,变压器,Model-D603,环境损坏,环境损坏-1,变压器出现环境损坏问题,严重,29,,2025-04-09 11:15:00,2025-04-09 11:25:00,2025-04-09 12:13:00,2025-04-09 12:40:00,2025-04-09 13:07:00,2025-04-09 13:33:00,2025-04-09 14:16:00,2025-04-09 14:25:00,"[{'ts': '2025-04-09T10:47:00', 'from': '新建', 'to': '已派单', 'actor': '系统'}, {'ts': '2025-04-09T11:15:00', 'from': '已派单', 'to': '已接单', 'actor': 'TECH0016'}, {'ts': '2025-04-09T12:13:00', 'from': '已接单', 'to': '已到场', 'actor': 'TECH0004'}, {'ts': '2025-04-09T13:07:00', 'from': '已到场', 'to': '已修复', 'actor': 'TECH0003'}, {'ts': '2025-04-09T14:25:00', 'from': '已修复', 'to': '已关闭', 'actor': '系统'}]",TECH0019,TEAM03,初,2,3517.35,4180.0,False,15,True,True,4,['2025-04-09T10:47:00'],False,,True,3.0,合规
TK000019,2025-05-08 08:35:00,保养,中,480,西南,SITE0008,EQ00199,发电机,Model-F339,老化,老化-3,发电机出现老化问题,一般,56,,2025-05-08 08:59:00,2025-05-08 09:22:00,2025-05-08 10:26:00,2025-05-08 10:49:00,2025-05-08 13:45:00,,2025-05-08 15:03:00,2025-05-08 15:14:00,"[{'ts': '2025-05-08T08:35:00', 'from': '新建', 'to': '已派单', 'actor': '系统'}, {'ts': '2025-05-08T08:59:00', 'from': '已派单', 'to': '已接单', 'actor': 'TECH0010'}, {'ts': '2025-05-08T10:26:00', 'from': '已接单', 'to': '已到场', 'actor': 'TECH0010'}, {'ts': '2025-05-08T13:45:00', 'from': '已到场', 'to': '已修复', 'actor': 'TECH0015'}, {'ts': '2025-05-08T15:14:00', 'from': '已修复', 'to': '已关闭', 'actor': '系统'}, {'ts': '2025-05-09T15:14:00', 'from': '已关闭', 'to': '已重开', 'actor': '客户'}]",TECH0014,TEAM01,初,4,3165.02,4067.85,False,7,True,True,0,['2025-05-08T08:35:00'],True,12.0,True,,合规
TK000020,2025-11-28 09:58:00,抢修,高,240,华东,SITE0006,EQ00079,发电机,Model-B581,电气故障,电气故障-5,发电机出现电气故障问题,轻微,117,,2025-11-28 10:21:00,2025-11-28 10:40:00,2025-11-28 11:05:00,2025-11-28 11:32:00,2025-11-28 15:51:00,,,2025-11-28 16:39:00,"[{'ts': '2025-11-28T09:58:00', 'from': '新建', 'to': '已派单', 'actor': '系统'}, {'ts': '2025-11-28T10:21:00', 'from': '已派单', 'to': '已接单', 'actor': 'TECH0009'}, {'ts': '2025-11-28T11:05:00', 'from': '已接单', 'to': '已到场', 'actor': 'TECH0019'}, {'ts': '2025-11-28T15:51:00', 'from': '已到场', 'to': '已修复', 'actor': 'TECH0002'}, {'ts': '2025-11-28T16:39:00', 'from': '已修复', 'to': '已关闭', 'actor': '系统'}]",TECH0006,TEAM05,持证,7,2245.02,3409.34,False,10,True,True,3,['2025-11-28T09:58:00'],False,,False,4.0,合规
TK000021,2025-11-22 20:31:00,改造,中,480,华中,SITE0011,EQ00083,配电箱,Model-C662,过热,过热-2,配电箱出现过热问题,轻微,42,2025-01-31 20:31:00,2025-11-22 21:02:00,2025-11-22 21:29:00,2025-11-22 22:42:00,2025-11-22 23:08:00,2025-11-23 01:55:00,,2025-11-23 02:36:00,2025-11-23 02:56:00,"[{'ts': '2025-11-22T20:31:00', 'from': '新建', 'to': '已派单', 'actor': '系统'}, {'ts': '2025-11-22T21:02:00', 'from': '已派单', 'to': '已接单', 'actor': 'TECH0015'}, {'ts': '2025-11-22T22:42:00', 'from': '已接单', 'to': '已到场', 'actor': 'TECH0002'}, {'ts': '2025-11-23T01:55:00', 'from': '已到场', 'to': '已修复', 'actor': 'TECH0007'}, {'ts': '2025-11-23T02:56:00', 'from': '已修复', 'to': '已关闭', 'actor': '系统'}]",TECH0004,TEAM01,高,4,1336.75,1578.9,False,16,True,True,8,['2025-11-22T20:31:00'],False,,False,3.0,合规
TK000022,2025-12-30 09:19:00,巡检,中,480,华东,SITE0008,EQ00030,电容器,Model-C843,过热,过热-3,电容器出现过热问题,一般,19,,2025-12-30 09:55:00,2025-12-30 10:22:00,2025-12-30 11:09:00,2025-12-30 11:36:00,2025-12-30 16:16:00,,2025-12-30 16:40:00,2025-12-30 17:00:00,"[{'ts': '2025-12-30T09:19:00', 'from': '新建', 'to': '已派单', 'actor': '系统'}, {'ts': '2025-12-30T09:55:00', 'from': '已派单', 'to': '已接单', 'actor': 'TECH0017'}, {'ts': '2025-12-30T11:09:00', 'from': '已接单', 'to': '已到场', 'actor': 'TECH0009'}, {'ts': '2025-12-30T16:16:00', 'from': '已到场', 'to': '已修复', 'actor': 'TECH0001'}, {'ts': '2025-12-30T17:00:00', 'from': '已修复', 'to': '已关闭', 'actor': '系统'}]",TECH0005,TEAM04,持证,8,2801.2,3833.47,True,16,True,True,1,['2025-12-30T09:19:00'],False,,False,4.0,合规
TK000023,2025-06-26 12:35:00,保养,中,480,华北,SITE0028,EQ00049,配电箱,Model-C446,短路,短路-5,配电箱出现短路问题,一般,29,,2025-06-26 13:34:00,2025-06-26 14:03:00,2025-06-26 15:05:00,2025-06-26 15:20:00,2025-06-26 16:02:00,,2025-06-26 17:32:00,2025-06-26 17:47:00,"[{'ts': '2025-06-26T12:35:00', 'from': '新建', 'to': '已派单', 'actor': '系统'}, {'ts': '2025-06-26T13:34:00', 'from': '已派单', 'to': '已接单', 'actor': 'TECH0005'}, {'ts': '2025-06-26T15:05:00', 'from': '已接单', 'to': '已到场', 'actor': 'TECH0003'}, {'ts': '2025-06-26T16:02:00', 'from': '已到场', 'to': '已修复', 'actor': 'TECH0016'}, {'ts': '2025-06-26T17:47:00', 'from': '已修复', 'to': '已关闭', 'actor': '系统'}]",TECH0018,TEAM04,初,6,2527.11,2845.31,True,18,True,True,7,['2025-06-26T12:35:00'],False,,False,2.0,合规
TK000024,2025-11-17 18:56:00,保养,低,1440,华东,SITE0020,EQ00018,开关柜,Model-E799,电气故障,电气故障-2,开关柜出现电气故障问题,一般,36,,2025-11-17 19:15:00,2025-11-17 19:43:00,2025-11-17 20:04:00,2025-11-17 20:12:00,2025-11-18 00:14:00,2025-11-18 00:37:00,2025-11-18 01:42:00,2025-11-18 02:01:00,"[{'ts': '2025-11-17T18:56:00', 'from': '新建', 'to': '已派单', 'actor': '系统'}, {'ts': '2025-11-17T19:15:00', 'from': '已派单', 'to': '已接单', 'actor': 'TECH0003'}, {'ts': '2025-11-17T20:04:00', 'from': '已接单', 'to': '已到场', 'actor': 'TECH0020'}, {'ts': '2025-11-18T00:14:00', 'from': '已到场', 'to': '已修复', 'actor': 'TECH0013'}, {'ts': '2025-11-18T02:01:00', 'from': '已修复', 'to': '已关闭', 'actor': '系统'}]",TECH0009,TEAM04,初,5,4526.78,5125.19,False,9,True,True,3,['2025-11-17T18:56:00'],False,,False,3.0,待审
TK000025,2025-12-08 07:57:00,保养,低,1440,西北,SITE0018,EQ00041,变压器,Model-C324,老化,老化-2,变压器出现老化问题,轻微,75,2025-10-14 07:57:00,2025-12-08 08:21:00,2025-12-08 08:46:00,2025-12-08 09:50:00,2025-12-08 10:03:00,2025-12-08 16:16:00,,2025-12-08 17:15:00,2025-12-08 17:24:00,"[{'ts': '2025-12-08T07:57:00', 'from': '新建', 'to': '已派单', 'actor': '系统'}, {'ts': '2025-12-08T08:21:00', 'from': '已派单', 'to': '已接单', 'actor': 'TECH0010'}, {'ts': '2025-12-08T09:50:00', 'from': '已接单', 'to': '已到场', 'actor': 'TECH0008'}, {'ts': '2025-12-08T16:16:00', 'from': '已到场', 'to': '已修复', 'actor': 'TECH0020'}, {'ts': '2025-12-08T17:24:00', 'from': '已修复', 'to': '已关闭', 'actor': '系统'}]",TECH0004,TEAM01,高,5,622.6,851.07,False,9,False,True,10,['2025-12-08T07:57:00'],False,,False,4.0,待审
TK000026,2025-08-14 07:37:00,巡检,高,240,华北,SITE0011,EQ00192,电容器,Model-D114,短路,短路-3,电容器出现短路问题,一般,100,,2025-08-14 08:16:00,2025-08-14 08:32:00,2025-08-14 09:49:00,2025-08-14 10:02:00,2025-08-14 14:38:00,2025-08-14 14:57:00,2025-08-14 16:21:00,2025-08-14 16:34:00,"[{'ts': '2025-08-14T07:37:00', 'from': '新建', 'to': '已派单', 'actor': '系统'}, {'ts': '2025-08-14T08:16:00', 'from': '已派单', 'to': '已接单', 'actor': 'TECH0018'}, {'ts': '2025-08-14T09:49:00', 'from': '已接单', 'to': '已到场', 'actor': 'TECH0012'}, {'ts': '2025-08-14T14:38:00', 'from': '已到场', 'to': '已修复', 'actor': 'TECH0003'}, {'ts': '2025-08-14T16:34:00', 'from': '已修复', 'to': '已关闭', 'actor': '系统'}]",TECH0019,TEAM04,持证,6,4840.18,6324.17,False,3,True,True,3,['2025-08-14T07:37:00'],False,,False,,待审
