ticket_id,material_id,material_category,qty_used,qty_returned,unit_price
TK000014,MAT0006,线缆,6.0,0.0,410.62
TK000014,MAT0042,机械零件,15.9,0.0,355.48
TK000015,MAT0041,线缆,15.3,0.0,173.33
TK000015,MAT0048,电气元件,5.9,0.0,327.98
TK000016,MAT0014,线缆,7.9,0.0,280.31
TK000016,MAT0032,绝缘材料,6.5,0.0,187.34
TK000018,MAT0022,机械零件,15.4,0.0,111.92
TK000018,MAT0017,辅材,11.9,0.0,466.6
TK000018,MAT0016,机械零件,8.9,0.0,173.24
TK000018,MAT0001,线缆,8.3,0.0,249.03
TK000018,MAT0030,绝缘材料,16.9,1.4,355.21
TK000019,MAT0026,工具,4.6,0.0,287.34
TK000020,MAT0044,工具,9.9,0.0,259.65
TK000020,MAT0030,工具,11.4,0.0,119.86
TK000020,MAT0033,线缆,1.0,0.0,277.74
TK000020,MAT0026,辅材,12.4,0.0,201.39
TK000021,MAT0022,辅材,6.6,0.0,436.72
TK000021,MAT0007,电气元件,5.9,0.0,287.62
TK000021,MAT0013,线缆,1.9,0.0,408.58
TK000021,MAT0005,线缆,8.0,0.0,158.36
TK000021,MAT0042,电气元件,15.7,0.5,247.28
TK000023,MAT0049,工具,11.2,0.5,187.03
TK000023,MAT0020,辅材,15.2,1.3,140.31
TK000023,MAT0002,辅材,8.3,0.0,415.16
TK000023,MAT0023,绝缘材料,11.4,0.0,178.2
TK000023,MAT0018,机械零件,6.7,0.0,59.23
TK000024,MAT0046,工具,1.8,0.0,331.16
TK000024,MAT0019,电气元件,2.2,0.0,132.82
TK000024,MAT0027,辅材,11.3,0.0,144.93
TK000024,MAT0037,线缆,8.8,1.2,381.88
TK000025,MAT0010,线缆,15.2,0.0,495.7
TK000026,MAT0010,辅材,6.3,0.1,78.35
TK000026,MAT0033,工具,1.0,0.0,319.32
TK000026,MAT0008,电气元件,5.3,0.0,50.47
TK000027,MAT0043,辅材,16.0,0.9,183.47
TK000027,MAT0049,机械零件,19.9,1.2,287.17
TK000027,MAT0026,电气元件,10.8,0.0,373.53
TK000028,MAT0041,辅材,19.7,0.0,309.24
TK000028,MAT0019,绝缘材料,18.3,0.0,148.72
TK000028,MAT0048,电气元件,4.4,0.0,135.72
TK000028,MAT0042,线缆,2.5,0.0,164.67
TK000029,MAT0029,工具,10.8,0.0,225.86
TK000029,MAT0014,绝缘材料,13.6,0.0,465.74
TK000030,MAT0019,线缆,17.7,0.0,148.51
TK000030,MAT0030,辅材,20.0,0.0,16.52
TK000030,MAT0028,线缆,9.7,0.0,218.5
TK000030,MAT0027,机械零件,3.4,0.0,38.36
TK000030,MAT0022,线缆,15.9,0.0,462.97
TK000031,MAT0046,绝缘材料,2.9,0.0,134.6
TK000031,MAT0049,辅材,19.3,0.0,405.99
TK000031,MAT0016,绝缘材料,5.1,0.5,444.04
TK000031,MAT0017,线缆,0.6,0.0,365.78
TK000031,MAT0016,机械零件,15.4,0.0,31.37
TK000032,MAT0049,机械零件,5.3,0.0,269.27
TK000033,MAT0030,线缆,1.1,0.0,232.35
TK000033,MAT0015,线缆,5.8,0.0,492.41
TK000033,MAT0017,辅材,14.5,0.0,298.36
TK000033,MAT0024,线缆,14.7,0.0,299.26
TK000033,MAT0040,工具,1.2,0.0,149.92
TK000034,MAT0047,绝缘材料,8.8,0.0,8.55
TK000034,MAT0027,线缆,2.4,1.1,106.51
TK000034,MAT0002,电气元件,8.8,0.0,180.12
TK000034,MAT0008,绝缘材料,11.2,0.0,53.86
TK000035,MAT0001,机械零件,11.8,0.0,259.72
TK000035,MAT0007,线缆,7.6,0.0,496.05
TK000035,MAT0038,绝缘材料,9.0,0.0,179.04
TK000036,MAT0013,机械零件,3.7,0.0,308.49
TK000036,MAT0037,工具,3.7,0.0,74.87
TK000036,MAT0006,机械零件,8.1,0.0,259.14
TK000036,MAT0025,绝缘材料,2.3,0.5,237.44
TK000036,MAT0019,机械零件,14.7,0.0,469.55
TK000037,MAT0038,电气元件,15.3,0.0,9.42
TK000037,MAT0016,辅材,4.8,0.0,70.01
TK000037,MAT0041,辅材,2.7,0.0,449.75
TK000037,MAT0014,辅材,4.0,0.0,105.33
TK000037,MAT0012,电气元件,10.8,0.0,155.73
TK000038,MAT0014,工具,19.3,0.9,248.32
TK000038,MAT0017,工具,9.0,0.0,446.79
TK000038,MAT0030,辅材,16.1,0.0,145.81
TK000038,MAT0050,绝缘材料,0.8,1.4,31.11
TK000039,MAT0022,绝缘材料,10.3,0.7,267.93
TK000039,MAT0014,机械零件,17.5,1.4,160.8
TK000039,MAT0023,辅材,6.7,0.0,372.35
TK000040,MAT0010,绝缘材料,19.7,0.0,481.21
TK000041,MAT0010,工具,13.4,0.8,61.13
TK000041,MAT0002,辅材,1.4,0.0,256.1
TK000041,MAT0026,电气元件,9.1,0.0,17.74
TK000041,MAT0046,电气元件,6.7,0.0,135.62
TK000042,MAT0042,线缆,10.5,0.0,470.15
TK000044,MAT0011,电气元件,8.9,1.8,483.69
TK000044,MAT0003,工具,3.7,0.0,451.64
TK000044,MAT0001,辅材,7.9,0.0,426.78
TK000045,MAT0023,辅材,16.8,0.8,37.67
TK000046,MAT0043,线缆,10.4,0.0,168.59
TK000046,MAT0006,辅材,18.2,0.9,158.19
TK000047,MAT0036,绝缘材料,4.4,0.0,445.85
TK000047,MAT0016,辅材,15.9,0.6,416.85
TK000047,MAT0026,电气元件,13.4,0.0,226.22
TK000048,MAT0014,线缆,13.0,0.0,180.67
TK000048,MAT0005,线缆,15.6,0.0,301.33
TK000048,MAT0043,工具,1.8,0.0,372.27
TK000048,MAT0013,辅材,2.9,0.0,34.5
TK000049,MAT0036,工具,13.7,0.3,279.17
TK000049,MAT0042,机械零件,5.9,0.0,333.96
TK000050,MAT0021,工具,10.8,0.0,350.33
TK000050,MAT0004,绝缘材料,6.6,0.0,374.15
TK000051,MAT0001,辅材,12.1,0.0,16.75
TK000051,MAT0050,工具,10.4,0.0,249.42
TK000051,MAT0029,辅材,7.5,0.0,437.81
TK000051,MAT0034,线缆,8.5,0.3,116.47
TK000051,MAT0039,电气元件,19.2,0.0,78.48
TK000052,MAT0042,工具,17.9,1.0,74.96
TK000053,MAT0018,机械零件,17.2,0.0,392.15
TK000053,MAT0012,电气元件,15.8,1.3,157.7
TK000054,MAT0003,工具,15.4,0.0,219.18
TK000054,MAT0017,电气元件,15.7,0.0,92.69
TK000054,MAT0013,绝缘材料,10.4,0.0,407.34
TK000054,MAT0021,工具,15.7,0.0,131.23
TK000056,MAT0004,绝缘材料,8.1,0.0,36.57
TK000057,MAT0047,工具,9.1,1.3,291.47
TK000057,MAT0022,机械零件,8.5,0.0,250.8
TK000057,MAT0026,绝缘材料,15.6,0.0,204.57
TK000058,MAT0032,线缆,3.2,0.4,450.29
TK000058,MAT0016,工具,13.0,0.2,104.45
TK000058,MAT0028,绝缘材料,0.8,0.0,412.73
TK000058,MAT0019,机械零件,15.8,0.0,239.12
TK000060,MAT0037,辅材,3.3,0.0,313.58
TK000060,MAT0019,电气元件,8.9,0.0,71.46
TK000060,MAT0011,辅材,10.2,0.0,193.26
TK000061,MAT0046,机械零件,1.4,0.0,362.21
TK000062,MAT0016,工具,2.5,0.0,146.45
TK000062,MAT0050,辅材,15.5,0.0,73.45
TK000062,MAT0033,线缆,8.5,0.0,254.9
TK000062,MAT0027,电气元件,12.5,0.0,39.38
TK000064,MAT0023,工具,18.5,0.0,339.48
TK000064,MAT0023,辅材,2.2,0.3,146.42
TK000064,MAT0025,辅材,11.9,1.1,498.72
TK000064,MAT0001,辅材,10.4,0.0,74.28
TK000064,MAT0017,绝缘材料,18.4,0.0,393.16
TK000065,MAT0036,绝缘材料,18.7,0.0,259.3
TK000065,MAT0044,线缆,11.2,0.0,13.12
TK000065,MAT0020,辅材,5.8,0.0,51.6
TK000065,MAT0036,线缆,2.4,1.4,487.62
TK000065,MAT0002,机械零件,18.0,0.0,442.48
TK000066,MAT0022,辅材,4.5,0.0,130.79
TK000066,MAT0014,绝缘材料,14.8,0.0,99.2
TK000066,MAT0019,电气元件,1.7,0.0,40.92
TK000066,MAT0043,线缆,6.7,0.0,18.65
TK000067,MAT0029,线缆,5.1,0.0,256.14
TK000067,MAT0043,辅材,15.9,0.0,292.16
TK000067,MAT0008,电气元件,2.9,0.0,431.17
TK000068,MAT0046,绝缘材料,11.0,1.3,397.28
TK000068,MAT0020,辅材,1.1,0.0,30.48
TK000068,MAT0014,绝缘材料,7.3,0.0,279.64
TK000068,MAT0024,机械零件,4.1,0.0,123.17
TK000070,MAT0020,线缆,10.5,0.0,7.59
TK000070,MAT0003,工具,1.4,1.3,111.6
TK000070,MAT0003,线缆,5.3,0.0,413.9
TK000071,MAT0031,绝缘材料,17.3,0.0,245.31
TK000071,MAT0004,绝缘材料,10.8,0.0,51.84
TK000073,MAT0038,工具,18.9,0.0,152.89
TK000073,MAT0030,工具,14.1,0.0,278.72
TK000073,MAT0036,线缆,8.9,0.0,491.62
TK000073,MAT0041,工具,19.4,0.3,485.54
TK000074,MAT0023,辅材,19.2,0.0,199.15
TK000075,MAT0045,辅材,10.6,0.0,421.25
TK000075,MAT0048,机械零件,2.4,0.0,253.73
TK000075,MAT0011,电气元件,18.1,1.8,174.32
TK000075,MAT0047,机械零件,5.1,0.0,383.3
TK000075,MAT0013,绝缘材料,3.9,0.7,41.8
TK000076,MAT0009,工具,19.3,0.0,83.95
TK000076,MAT0020,辅材,4.1,1.4,329.54
TK000076,MAT0029,电气元件,13.1,1.5,111.9
TK000077,MAT0009,线缆,8.4,1.0,110.73
TK000077,MAT0010,电气元件,9.8,0.6,350.04
TK000077,MAT0035,辅材,16.7,0.0,287.27
TK000078,MAT0033,机械零件,0.5,0.0,408.47
TK000078,MAT0032,绝缘材料,13.7,0.0,68.42
TK000078,MAT0003,线缆,1.1,0.0,307.96
TK000079,MAT0040,线缆,16.1,0.0,45.91
TK000080,MAT0017,绝缘材料,2.5,0.0,283.32
TK000081,MAT0012,绝缘材料,18.7,0.0,378.36
TK000082,MAT0005,工具,16.7,1.6,489.38
TK000082,MAT0041,辅材,7.2,0.0,249.57
TK000082,MAT0014,电气元件,7.5,0.0,113.7
TK000082,MAT0018,辅材,5.4,0.0,6.33
TK000082,MAT0030,辅材,1.6,0.0,472.04
TK000083,MAT0006,电气元件,16.7,0.0,494.43
TK000083,MAT0019,绝缘材料,1.4,0.7,204.42
TK000083,MAT0001,辅材,4.6,0.0,58.5
TK000083,MAT0010,工具,4.1,0.0,187.02
TK000084,MAT0041,线缆,6.9,0.0,132.43
TK000084,MAT0042,辅材,10.3,0.0,395.14
TK000085,MAT0044,辅材,9.0,0.0,102.81
TK000086,MAT0046,机械零件,18.6,0.0,176.23
TK000086,MAT0032,电气元件,5.7,0.0,265.87
TK000086,MAT0014,机械零件,6.3,1.3,19.4
TK000087,MAT0031,线缆,1.9,0.6,276.64
TK000087,MAT0031,电气元件,7.1,0.0,276.92
TK000087,MAT0021,工具,19.4,0.5,311.77
TK000087,MAT0045,电气元件,18.9,0.0,235.34
TK000088,MAT0032,绝缘材料,1.2,0.0,450.08
TK000091,MAT0033,电气元件,6.5,0.0,143.78
TK000091,MAT0041,工具,8.9,0.0,88.04
TK000093,MAT0007,工具,16.1,0.0,27.03
TK000093,MAT0020,电气元件,3.0,0.0,141.4
TK000093,MAT0011,机械零件,17.1,0.0,37.53
TK000093,MAT0020,工具,18.3,0.0,358.79
TK000093,MAT0020,辅材,8.5,1.4,499.99
TK000094,MAT0014,辅材,11.1,0.0,183.97
TK000094,MAT0009,辅材,14.4,0.0,280.08
TK000094,MAT0030,机械零件,10.1,0.0,274.79
TK000094,MAT0017,工具,10.2,0.0,407.01
TK000094,MAT0015,绝缘材料,19.2,0.0,52.1
TK000095,MAT0014,机械零件,15.1,0.0,132.55
TK000095,MAT0016,工具,4.6,0.0,202.64
TK000095,MAT0018,线缆,0.8,0.0,210.43
TK000095,MAT0003,线缆,4.8,0.0,355.31
TK000095,MAT0021,线缆,3.0,0.0,178.22
TK000096,MAT0047,机械零件,17.6,0.0,457.31
TK000096,MAT0027,机械零件,15.4,0.0,144.19
TK000096,MAT0038,辅材,10.7,0.0,114.03
TK000096,MAT0011,辅材,15.2,0.0,174.94
TK000098,MAT0010,机械零件,6.6,0.0,136.57
TK000098,MAT0041,辅材,8.8,0.0,493.18
TK000098,MAT0043,工具,7.4,0.0,498.67
TK000098,MAT0039,电气元件,5.8,0.1,285.44
TK000099,MAT0018,工具,13.1,0.0,57.35
TK000099,MAT0047,辅材,8.9,0.0,26.25
TK000099,MAT0017,绝缘材料,10.8,0.0,63.94
TK000099,MAT0032,工具,16.4,0.0,267.75
TK000100,MAT0011,电气元件,6.6,0.5,237.15
TK000101,MAT0001,辅材,17.4,0.0,236.49
TK000101,MAT0017,电气元件,2.1,0.0,75.69
TK000101,MAT0050,线缆,4.7,0.3,218.16
TK000101,MAT0005,机械零件,14.9,0.0,399.1
TK000101,MAT0024,电气元件,16.5,0.0,119.76
TK000103,MAT0026,绝缘材料,13.9,0.0,409.04
TK000104,MAT0020,辅材,16.6,1.7,292.07
TK000104,MAT0049,机械零件,18.5,0.0,358.41
TK000104,MAT0050,电气元件,17.3,0.0,64.37
TK000104,MAT0027,绝缘材料,16.3,0.0,94.32
TK000105,MAT0046,机械零件,6.2,0.0,67.28
TK000105,MAT0019,电气元件,14.5,0.0,389.15
TK000105,MAT0028,工具,11.0,0.0,74.79
TK000106,MAT0031,绝缘材料,4.9,0.0,81.29
TK000106,MAT0040,辅材,7.2,2.0,267.7
TK000106,MAT0035,机械零件,18.9,0.0,138.87
TK000106,MAT0013,线缆,11.7,0.0,204.96
TK000106,MAT0006,辅材,1.9,0.0,234.66
TK000108,MAT0032,线缆,6.4,0.0,342.76
TK000108,MAT0035,机械零件,9.7,0.0,8.91
TK000109,MAT0029,辅材,18.8,0.0,299.19
TK000109,MAT0030,机械零件,9.8,0.0,387.17
TK000109,MAT0006,辅材,10.5,0.0,423.84
TK000109,MAT0032,工具,10.8,0.0,323.28
TK000109,MAT0017,机械零件,13.1,0.0,208.79
TK000110,MAT0041,辅材,2.6,0.0,460.64
TK000110,MAT0027,绝缘材料,1.8,0.0,64.39
TK000111,MAT0023,绝缘材料,8.9,0.0,422.7
TK000111,MAT0027,机械零件,2.9,1.9,404.64
TK000111,MAT0012,工具,5.8,0.0,283.56
TK000111,MAT0032,辅材,16.3,0.0,90.39
TK000111,MAT0021,绝缘材料,3.8,0.0,14.67
TK000112,MAT0020,电气元件,16.8,0.0,24.03
TK000112,MAT0024,线缆,4.2,0.0,369.57
TK000112,MAT0020,工具,4.6,0.0,243.24
TK000112,MAT0004,辅材,15.7,0.0,361.29
TK000113,MAT0007,线缆,19.9,0.5,484.25
TK000114,MAT0007,线缆,8.2,0.0,471.26
TK000114,MAT0041,电气元件,12.3,1.0,438.22
TK000115,MAT0031,线缆,15.4,0.0,207.92
TK000115,MAT0013,工具,3.1,0.0,48.2
TK000115,MAT0030,工具,2.2,0.0,391.87
TK000116,MAT0013,辅材,4.3,0.0,249.48
TK000116,MAT0002,辅材,1.9,0.0,221.36
TK000116,MAT0036,线缆,19.3,0.0,274.96
TK000116,MAT0047,电气元件,13.2,1.7,114.44
TK000116,MAT0030,线缆,3.9,0.0,492.72
TK000117,MAT0037,绝缘材料,8.2,0.0,364.62
TK000118,MAT0002,工具,12.4,0.0,172.48
TK000118,MAT0046,电气元件,5.2,0.0,395.51
TK000119,MAT0002,工具,17.6,0.9,352.1
TK000119,MAT0042,机械零件,2.3,0.0,367.72
TK000119,MAT0017,电气元件,16.7,0.0,490.7
TK000119,MAT0028,工具,6.9,0.8,86.03
TK000120,MAT0049,绝缘材料,14.1,0.0,431.28
TK000120,MAT0030,辅材,13.7,0.0,469.04
TK000120,MAT0029,线缆,9.4,0.0,485.37
TK000120,MAT0041,机械零件,16.6,0.0,379.92
TK000121,MAT0038,辅材,17.7,0.0,461.23
TK000122,MAT0020,电气元件,16.3,0.0,254.75
TK000122,MAT0023,机械零件,14.9,0.0,284.71
TK000122,MAT0044,绝缘材料,8.0,0.5,73.02
TK000122,MAT0049,绝缘材料,14.5,0.0,264.98
TK000123,MAT0020,辅材,12.6,0.0,360.34
TK000123,MAT0032,电气元件,10.3,0.0,219.99
TK000123,MAT0001,机械零件,13.2,0.0,474.96
TK000123,MAT0045,线缆,18.5,0.0,241.18
TK000123,MAT0009,机械零件,12.7,0.0,275.71
TK000124,MAT0013,电气元件,19.4,0.0,409.95
TK000124,MAT0023,机械零件,12.3,0.0,145.8
TK000124,MAT0017,电气元件,4.9,0.0,300.27
TK000124,MAT0036,辅材,10.1,0.0,429.29
TK000126,MAT0017,辅材,12.8,0.0,315.98
TK000126,MAT0040,电气元件,15.1,0.7,35.61
TK000126,MAT0039,辅材,13.5,1.8,259.07
TK000128,MAT0037,机械零件,9.5,1.7,499.33
TK000129,MAT0013,工具,8.6,0.0,424.19
TK000130,MAT0040,线缆,12.4,0.0,31.4
TK000131,MAT0007,机械零件,11.3,0.0,184.94
TK000131,MAT0036,机械零件,7.8,0.0,24.1
TK000131,MAT0025,辅材,11.0,1.1,143.55
TK000131,MAT0007,线缆,18.7,0.0,329.84
TK000132,MAT0048,辅材,11.0,0.0,59.73
TK000133,MAT0010,辅材,1.6,1.5,11.01
TK000134,MAT0022,机械零件,2.9,0.0,16.74
TK000136,MAT0021,电气元件,2.8,0.3,437.88
TK000136,MAT0044,辅材,16.6,0.0,126.37
TK000136,MAT0023,工具,9.5,0.3,20.4
TK000136,MAT0004,线缆,9.3,0.0,449.92
TK000136,MAT0024,辅材,8.6,0.0,51.31
TK000137,MAT0032,线缆,15.8,0.5,98.0
TK000140,MAT0003,辅材,3.8,1.0,85.35
TK000140,MAT0043,工具,2.9,0.0,317.62
TK000140,MAT0039,绝缘材料,14.6,0.0,491.86
TK000140,MAT0009,绝缘材料,11.2,0.0,202.62
TK000140,MAT0029,工具,7.8,0.0,409.46
TK000141,MAT0015,工具,6.3,0.0,262.45
TK000141,MAT0035,线缆,8.6,1.8,84.94
TK000142,MAT0004,机械零件,15.1,0.0,355.05
TK000142,MAT0030,辅材,8.6,0.0,342.62
TK000142,MAT0013,工具,2.5,0.0,106.93
TK000142,MAT0003,绝缘材料,16.9,0.0,305.52
TK000142,MAT0023,机械零件,12.8,0.0,414.27
TK000143,MAT0009,辅材,18.5,2.0,276.83
TK000144,MAT0037,线缆,4.1,0.0,97.68
TK000144,MAT0024,电气元件,3.7,0.0,57.08
TK000144,MAT0034,绝缘材料,3.6,1.8,239.99
TK000146,MAT0003,机械零件,10.3,0.0,361.8
TK000146,MAT0041,绝缘材料,7.2,0.0,220.86
TK000147,MAT0049,辅材,0.6,0.0,123.53
TK000147,MAT0022,绝缘材料,4.5,0.0,434.92
TK000147,MAT0037,工具,16.3,0.0,170.21
TK000147,MAT0011,辅材,9.5,0.8,157.16
TK000148,MAT0007,电气元件,14.0,2.0,438.8
TK000149,MAT0002,辅材,14.5,0.0,478.87
TK000150,MAT0006,电气元件,0.8,0.0,239.11
TK000150,MAT0021,机械零件,18.5,0.0,99.26
TK000151,MAT0020,电气元件,0.5,0.0,436.01
TK000151,MAT0035,电气元件,18.8,0.0,148.39
TK000151,MAT0015,线缆,19.1,0.0,215.95
TK000152,MAT0038,工具,17.4,0.0,348.39
TK000152,MAT0040,工具,18.3,0.0,160.53
TK000152,MAT0016,线缆,9.8,0.0,25.52
TK000152,MAT0045,机械零件,1.6,0.0,83.73
TK000152,MAT0022,辅材,10.9,0.9,326.38
TK000153,MAT0031,绝缘材料,11.4,0.0,436.83
TK000153,MAT0035,线缆,13.6,0.0,491.99
TK000153,MAT0003,绝缘材料,9.4,0.0,381.22
TK000153,MAT0050,机械零件,10.8,0.0,325.57
TK000154,MAT0022,辅材,3.0,0.0,52.24
TK000154,MAT0014,工具,1.5,0.0,355.47
TK000154,MAT0038,线缆,4.8,0.7,136.08
TK000155,MAT0033,机械零件,13.3,1.5,9.65
TK000155,MAT0049,机械零件,5.9,0.0,146.75
TK000155,MAT0022,线缆,7.0,0.0,474.75
TK000155,MAT0022,电气元件,3.8,0.0,199.71
TK000155,MAT0034,工具,16.3,0.0,101.89
TK000157,MAT0031,线缆,19.9,0.0,53.13
TK000157,MAT0041,工具,3.3,0.0,385.72
TK000157,MAT0008,机械零件,11.8,0.0,225.98
TK000158,MAT0013,绝缘材料,4.2,0.0,18.05
TK000158,MAT0034,工具,17.0,0.0,444.14
TK000159,MAT0050,辅材,11.7,0.0,9.75
TK000161,MAT0023,线缆,9.5,0.0,238.53
TK000161,MAT0046,工具,6.8,2.0,126.37
TK000161,MAT0005,机械零件,8.5,0.0,147.41
TK000161,MAT0045,工具,14.0,0.0,318.15
TK000161,MAT0012,电气元件,0.6,0.0,168.09
TK000162,MAT0025,辅材,17.6,0.0,396.98
TK000163,MAT0007,工具,18.5,0.0,483.07
TK000164,MAT0021,线缆,3.8,0.0,398.09
TK000164,MAT0039,机械零件,16.4,0.0,59.4
TK000164,MAT0015,电气元件,14.3,0.0,189.9
TK000164,MAT0004,绝缘材料,11.7,0.0,240.57
TK000164,MAT0024,辅材,7.6,0.0,98.03
TK000165,MAT0021,电气元件,5.2,0.7,397.85
TK000165,MAT0013,工具,3.1,0.0,34.06
TK000165,MAT0027,电气元件,13.6,0.0,149.57
TK000165,MAT0020,线缆,4.3,0.0,340.75
TK000165,MAT0031,工具,18.3,0.0,423.17
TK000166,MAT0004,绝缘材料,3.3,0.0,132.27
TK000166,MAT0044,辅材,6.9,0.0,435.49
TK000166,MAT0012,电气元件,8.2,0.0,257.22
TK000169,MAT0006,机械零件,6.6,0.0,258.8
TK000169,MAT0023,辅材,3.6,0.0,331.0
TK000169,MAT0004,电气元件,18.8,0.0,227.05
TK000170,MAT0044,工具,4.7,0.0,182.32
TK000171,MAT0024,线缆,1.1,0.0,155.81
TK000171,MAT0017,辅材,11.2,0.0,33.78
TK000172,MAT0022,工具,11.0,0.8,495.59
TK000172,MAT0015,机械零件,6.9,0.0,93.95
TK000172,MAT0046,线缆,1.4,0.3,446.35
TK000172,MAT0045,线缆,5.8,1.0,295.38
TK000174,MAT0036,机械零件,8.8,0.0,267.79
TK000174,MAT0039,工具,14.2,0.0,423.78
TK000176,MAT0033,绝缘材料,11.9,0.0,61.08
TK000176,MAT0012,工具,17.4,0.0,41.77
TK000176,MAT0028,线缆,9.2,1.7,282.72
TK000176,MAT0020,辅材,5.0,0.5,284.98
TK000176,MAT0004,机械零件,6.3,0.0,42.46
TK000177,MAT0044,线缆,8.0,0.0,186.91
TK000179,MAT0028,机械零件,0.6,0.0,498.65
TK000179,MAT0043,电气元件,12.1,0.0,115.98
TK000179,MAT0007,绝缘材料,15.7,0.0,417.02
TK000179,MAT0007,辅材,8.6,0.0,276.11
TK000180,MAT0011,机械零件,19.4,0.0,287.29
TK000180,MAT0034,机械零件,6.3,0.0,50.18
TK000180,MAT0031,线缆,5.3,0.0,371.94
TK000180,MAT0018,线缆,9.3,0.0,130.7
TK000182,MAT0021,绝缘材料,10.6,0.0,481.26
TK000182,MAT0019,电气元件,1.8,0.0,156.68
TK000184,MAT0015,工具,19.6,0.0,344.24
TK000184,MAT0022,机械零件,15.4,0.0,498.5
TK000184,MAT0026,电气元件,1.1,0.0,6.13
TK000186,MAT0008,机械零件,2.5,0.0,342.56
TK000186,MAT0003,机械零件,3.1,1.4,435.8
TK000186,MAT0010,辅材,13.1,0.0,408.28
TK000186,MAT0037,绝缘材料,15.0,1.0,207.71
TK000186,MAT0007,线缆,7.6,0.0,291.88
TK000187,MAT0015,电气元件,13.8,0.0,432.21
TK000187,MAT0050,辅材,18.1,1.9,106.53
TK000188,MAT0039,线缆,14.0,0.0,308.43
TK000189,MAT0037,绝缘材料,11.3,0.5,83.6
TK000189,MAT0029,工具,0.8,1.9,67.34
TK000189,MAT0025,工具,12.0,0.0,392.13
TK000189,MAT0034,辅材,15.8,0.0,343.66
TK000189,MAT0001,工具,5.5,0.0,195.38
TK000191,MAT0032,机械零件,3.9,0.0,207.44
TK000191,MAT0023,电气元件,6.2,0.0,41.53
TK000191,MAT0033,线缆,4.9,0.0,134.95
TK000191,MAT0007,电气元件,18.3,0.0,480.95
TK000191,MAT0012,线缆,12.7,0.0,260.93
TK000192,MAT0003,机械零件,17.9,0.1,192.14
TK000193,MAT0040,绝缘材料,16.3,0.0,324.52
TK000193,MAT0017,工具,8.5,0.0,130.35
TK000193,MAT0017,线缆,4.6,0.1,111.96
TK000194,MAT0021,线缆,2.3,0.0,211.25
TK000194,MAT0009,线缆,18.4,1.7,401.8
TK000194,MAT0022,工具,17.5,0.0,430.71
TK000195,MAT0042,机械零件,5.9,0.0,184.76
TK000195,MAT0022,绝缘材料,9.9,0.0,185.24
TK000195,MAT0048,机械零件,9.3,0.3,13.03
TK000195,MAT0020,工具,6.4,0.0,313.02
TK000196,MAT0009,机械零件,18.0,0.0,95.79
TK000196,MAT0030,机械零件,9.9,0.5,9.46
TK000197,MAT0006,线缆,16.0,0.0,80.54
TK000197,MAT0023,电气元件,19.8,0.0,492.41
TK000197,MAT0034,辅材,8.7,0.0,336.45
TK000198,MAT0019,工具,19.1,0.0,146.01
TK000198,MAT0005,辅材,13.5,0.0,194.01
TK000198,MAT0009,工具,8.1,1.8,10.88
TK000198,MAT0007,辅材,1.0,0.2,253.53
TK000199,MAT0001,工具,12.6,0.0,182.07
TK000199,MAT0041,电气元件,4.4,0.0,399.39
TK000199,MAT0048,绝缘材料,16.7,0.7,334.56
